Flt_Id,Taxi_Out,Taxi_In,Block_Tm,Flt_Tm,Dep_Tm,Arr_Tm,Flt_Tm_Plan,Fuel_Cost_Index
W_Sun_BR3427_NGOTPE,26,14,209,169,12:00~17:59,18:00~23:59,170,6
W_Sun_BR3428_TPENGO,14,13,144,117,12:00~17:59,12:00~17:59,116,5
W_Sun_BR3429_NGOTPE,13,10,185,162,12:00~17:59,12:00~17:59,158,11
W_Sun_BR3430_TPENGO,15,11,154,128,06:00~11:59,06:00~11:59,126,8
W_Sun_BR3475_NGOTPE,20,13,198,165,06:00~11:59,12:00~17:59,163,10
W_Sun_BR3476_TPENGO,17,15,143,111,06:00~11:59,06:00~11:59,110,8
W_Sun_BR3477_NGOTPE,15,5,182,162,18:00~23:59,00:00~05:59,165,6
W_Sun_BR3478_TPENGO,14,12,147,121,12:00~17:59,18:00~23:59,122,5
W_Sun_BR3479_NGOKHH,20,6,218,192,12:00~17:59,12:00~17:59,188,7
W_Sun_BR3480_KHHNGO,16,17,164,131,06:00~11:59,06:00~11:59,130,5
W_Sun_BR3553_TPELOP,25,8,332,299,06:00~11:59,12:00~17:59,299,20
W_Sun_BR3554_LOPTPE,20,7,332,305,12:00~17:59,18:00~23:59,309,21
W_Sun_BR3679_TPEPNH,17,17,220,186,18:00~23:59,18:00~23:59,189,17
W_Sun_BR3680_PNHTPE,33,5,196,158,00:00~05:59,00:00~05:59,160,14
W_Sun_BR3689_TPEPNH,15,27,206,164,06:00~11:59,06:00~11:59,177,17
W_Sun_BR3690_PNHTPE,17,14,195,164,12:00~17:59,12:00~17:59,170,16
W_Sun_BR3693_TPEPNH,15,21,220,184,06:00~11:59,06:00~11:59,189,18
W_Sun_BR3694_PNHTPE,12,9,187,166,12:00~17:59,18:00~23:59,167,16
W_Sun_BR4003_YNZKHH,20,7,123,96,18:00~23:59,18:00~23:59,101,4
W_Sun_BR4004_KHHYNZ,13,24,153,116,12:00~17:59,18:00~23:59,120,5
W_Sun_BR4009_YNZTPE,19,6,110,85,12:00~17:59,12:00~17:59,86,8
W_Sun_BR4010_TPEYNZ,29,18,124,77,06:00~11:59,12:00~17:59,79,9
W_Sun_BR4019_YNZTPE,17,9,122,96,18:00~23:59,18:00~23:59,93,8
W_Sun_BR4020_TPEYNZ,27,23,140,90,12:00~17:59,18:00~23:59,90,9
W_Sun_BR7223_YNZTSA,15,7,106,84,06:00~11:59,12:00~17:59,86,3
W_Sun_BR7224_TSAYNZ,13,16,130,101,06:00~11:59,06:00~11:59,96,4
W_Thu_BR3303_SJCTPE,20,8,890,862,06:00~11:59,12:00~17:59,870,90
W_Thu_BR3304_TPESJC,16,10,629,603,06:00~11:59,06:00~11:59,606,60
W_Thu_BR3309_SJCTPE,42,6,909,861,18:00~23:59,06:00~11:59,854,89
W_Thu_BR3310_TPESJC,14,5,645,626,18:00~23:59,12:00~17:59,627,62
W_Thu_BR3313_SJCTPE,22,7,892,863,18:00~23:59,06:00~11:59,857,88
W_Thu_BR3314_TPESJC,14,12,642,616,18:00~23:59,18:00~23:59,618,63
W_Thu_BR3327_IAHTPE,25,9,986,952,12:00~17:59,18:00~23:59,940,97
W_Thu_BR3328_TPEIAH,32,10,854,812,06:00~11:59,06:00~11:59,817,84
W_Thu_BR3329_IAHTPE,31,6,1012,975,00:00~05:59,06:00~11:59,961,97
W_Thu_BR3330_TPEIAH,21,14,846,811,18:00~23:59,18:00~23:59,814,86
W_Thu_BR3385_TPEMXP,32,7,823,784,18:00~23:59,06:00~11:59,788,80
W_Thu_BR3386_MXPTPE,21,12,760,727,06:00~11:59,06:00~11:59,739,70
W_Thu_BR3427_NGOTPE,12,9,209,188,12:00~17:59,18:00~23:59,187,8
W_Thu_BR3428_TPENGO,14,12,147,121,12:00~17:59,12:00~17:59,115,4
W_Thu_BR3429_NGOTPE,10,10,234,214,12:00~17:59,12:00~17:59,187,13
W_Thu_BR3430_TPENGO,15,16,148,117,06:00~11:59,06:00~11:59,113,8
W_Thu_BR3476_TPENGO,14,14,145,117,06:00~11:59,06:00~11:59,114,8
W_Thu_BR3477_NGOTPE,11,8,220,201,18:00~23:59,00:00~05:59,204,7
W_Thu_BR3478_TPENGO,16,10,150,124,12:00~17:59,18:00~23:59,119,4
W_Thu_BR3480_KHHNGO,18,14,174,142,06:00~11:59,06:00~11:59,139,5
W_Thu_BR3689_TPEPNH,42,28,249,179,06:00~11:59,12:00~17:59,186,18
W_Thu_BR3690_PNHTPE,15,7,184,162,12:00~17:59,18:00~23:59,166,15
W_Thu_BR3693_TPEPNH,13,4,215,198,06:00~11:59,06:00~11:59,197,18
W_Thu_BR3694_PNHTPE,11,16,197,170,12:00~17:59,18:00~23:59,165,16
W_Thu_BR4003_YNZKHH,20,10,136,106,18:00~23:59,18:00~23:59,113,5
W_Thu_BR4004_KHHYNZ,11,17,137,109,12:00~17:59,18:00~23:59,104,4
W_Thu_BR4009_YNZTPE,27,8,132,97,12:00~17:59,12:00~17:59,86,9
W_Thu_BR4010_TPEYNZ,25,18,126,83,06:00~11:59,06:00~11:59,87,8
W_Thu_BR4019_YNZTPE,19,6,131,106,18:00~23:59,18:00~23:59,92,9
W_Thu_BR4020_TPEYNZ,14,17,113,82,12:00~17:59,12:00~17:59,82,8
W_Thu_BR6751_TPEPNH,15,19,214,180,18:00~23:59,18:00~23:59,195,18
W_Thu_BR6752_PNHTPE,12,5,170,153,00:00~05:59,00:00~05:59,154,15
W_Thu_BR7223_YNZTSA,19,7,115,89,06:00~11:59,12:00~17:59,91,4
W_Thu_BR7224_TSAYNZ,12,22,120,86,06:00~11:59,06:00~11:59,77,4
W_Tue_BR3303_SJCTPE,27,9,924,888,06:00~11:59,12:00~17:59,883,90
W_Tue_BR3304_TPESJC,16,19,680,645,06:00~11:59,06:00~11:59,643,65
W_Tue_BR3309_SJCTPE,40,10,900,850,18:00~23:59,06:00~11:59,841,88
W_Tue_BR3310_TPESJC,16,4,670,650,18:00~23:59,12:00~17:59,647,64
W_Tue_BR3313_SJCTPE,29,4,887,854,18:00~23:59,06:00~11:59,855,87
W_Tue_BR3314_TPESJC,22,4,657,631,18:00~23:59,18:00~23:59,629,64
W_Tue_BR3327_IAHTPE,22,6,1025,997,12:00~17:59,18:00~23:59,994,100
W_Tue_BR3328_TPEIAH,22,11,854,821,06:00~11:59,06:00~11:59,822,85
W_Tue_BR3329_IAHTPE,22,3,1019,994,00:00~05:59,06:00~11:59,983,99
W_Tue_BR3330_TPEIAH,22,22,874,830,18:00~23:59,18:00~23:59,823,83
W_Tue_BR3385_TPEMXP,28,9,826,789,18:00~23:59,06:00~11:59,795,79
W_Tue_BR3386_MXPTPE,28,6,769,735,06:00~11:59,06:00~11:59,736,70
W_Tue_BR3427_NGOTPE,10,13,226,203,12:00~17:59,18:00~23:59,207,7
W_Tue_BR3428_TPENGO,12,11,141,118,12:00~17:59,12:00~17:59,110,4
W_Tue_BR3429_NGOTPE,13,9,214,192,12:00~17:59,12:00~17:59,189,13
W_Tue_BR3430_TPENGO,15,10,141,116,06:00~11:59,06:00~11:59,109,8
W_Tue_BR3475_NGOTPE,14,11,218,193,06:00~11:59,12:00~17:59,187,13
W_Tue_BR3477_NGOTPE,15,8,220,197,18:00~23:59,00:00~05:59,200,7
W_Tue_BR3478_TPENGO,15,11,148,122,12:00~17:59,18:00~23:59,115,4
W_Tue_BR3480_KHHNGO,13,19,169,137,06:00~11:59,06:00~11:59,138,5
W_Tue_BR3553_TPELOP,18,7,323,298,06:00~11:59,12:00~17:59,298,22
W_Tue_BR3554_LOPTPE,14,8,318,296,12:00~17:59,18:00~23:59,296,20
W_Tue_BR3689_TPEPNH,30,12,223,181,06:00~11:59,12:00~17:59,195,18
W_Tue_BR3690_PNHTPE,15,8,198,175,12:00~17:59,12:00~17:59,175,16
W_Tue_BR3693_TPEPNH,16,17,210,177,06:00~11:59,06:00~11:59,193,18
W_Tue_BR3694_PNHTPE,19,14,195,162,12:00~17:59,18:00~23:59,163,16
W_Tue_BR4003_YNZKHH,24,8,138,106,18:00~23:59,18:00~23:59,112,5
W_Tue_BR4004_KHHYNZ,13,28,142,101,12:00~17:59,18:00~23:59,105,5
W_Tue_BR4009_YNZTPE,22,6,131,103,12:00~17:59,12:00~17:59,101,9
W_Tue_BR4010_TPEYNZ,42,23,145,80,06:00~11:59,12:00~17:59,82,8
W_Tue_BR4019_YNZTPE,29,15,136,92,18:00~23:59,18:00~23:59,92,9
W_Tue_BR4020_TPEYNZ,19,21,128,88,12:00~17:59,18:00~23:59,85,8
W_Tue_BR6751_TPEPNH,19,8,207,180,18:00~23:59,18:00~23:59,192,18
W_Tue_BR6752_PNHTPE,11,5,167,151,00:00~05:59,00:00~05:59,159,15
W_Tue_BR7223_YNZTSA,22,6,115,87,06:00~11:59,12:00~17:59,86,4
W_Tue_BR7224_TSAYNZ,13,24,120,83,06:00~11:59,06:00~11:59,81,4
W_Wed_BR3303_SJCTPE,32,13,930,885,06:00~11:59,18:00~23:59,876,92
W_Wed_BR3304_TPESJC,17,7,632,608,06:00~11:59,00:00~05:59,610,58
W_Wed_BR3309_SJCTPE,30,6,907,871,18:00~23:59,06:00~11:59,882,91
W_Wed_BR3310_TPESJC,17,6,636,613,18:00~23:59,12:00~17:59,611,61
W_Wed_BR3313_SJCTPE,30,6,906,870,18:00~23:59,06:00~11:59,874,93
W_Wed_BR3314_TPESJC,18,8,645,619,18:00~23:59,18:00~23:59,620,62
W_Wed_BR3329_IAHTPE,21,5,1022,996,00:00~05:59,06:00~11:59,998,100
W_Wed_BR3330_TPEIAH,17,24,839,798,18:00~23:59,18:00~23:59,808,79
W_Wed_BR3385_TPEMXP,22,9,795,764,18:00~23:59,06:00~11:59,771,78
W_Wed_BR3386_MXPTPE,18,14,764,732,06:00~11:59,06:00~11:59,739,69
W_Wed_BR3427_NGOTPE,20,8,231,203,12:00~17:59,18:00~23:59,213,8
W_Wed_BR3428_TPENGO,11,12,139,116,12:00~17:59,12:00~17:59,111,4
W_Wed_BR3429_NGOTPE,12,12,229,205,12:00~17:59,12:00~17:59,197,13
W_Wed_BR3430_TPENGO,13,12,135,110,06:00~11:59,06:00~11:59,105,8
W_Wed_BR3477_NGOTPE,19,6,228,203,18:00~23:59,00:00~05:59,203,7
W_Wed_BR3478_TPENGO,13,12,139,114,12:00~17:59,18:00~23:59,108,4
W_Wed_BR3479_NGOKHH,10,8,238,220,12:00~17:59,12:00~17:59,227,8
W_Wed_BR3553_TPELOP,17,8,313,288,06:00~11:59,12:00~17:59,292,22
W_Wed_BR3554_LOPTPE,11,5,313,297,12:00~17:59,18:00~23:59,291,21
W_Wed_BR3679_TPEPNH,14,14,206,178,18:00~23:59,18:00~23:59,185,18
W_Wed_BR3680_PNHTPE,12,9,178,157,00:00~05:59,00:00~05:59,158,15
W_Wed_BR3689_TPEPNH,25,16,225,184,06:00~11:59,06:00~11:59,191,18
W_Wed_BR3690_PNHTPE,15,8,198,175,12:00~17:59,12:00~17:59,175,16
W_Wed_BR3693_TPEPNH,29,13,218,176,06:00~11:59,06:00~11:59,184,18
W_Wed_BR3694_PNHTPE,16,11,183,156,12:00~17:59,18:00~23:59,164,16
W_Wed_BR4009_YNZTPE,24,8,127,95,12:00~17:59,12:00~17:59,92,9
W_Wed_BR4010_TPEYNZ,22,17,126,87,06:00~11:59,06:00~11:59,86,8
W_Wed_BR4019_YNZTPE,22,7,144,115,18:00~23:59,18:00~23:59,97,9
W_Wed_BR4020_TPEYNZ,17,23,124,84,12:00~17:59,18:00~23:59,85,8
