Flt_Id,Carr_Cd,Flt_Nbr,Dep_Season,Dep_Day_Of_Wk,Dep_Apt_Cd,Arr_Apt_Cd,Acft_Typ_Cd,C_Cls_Seat_Qty,K_Cls_Seat_Qty,Y_Cls_Seat_Qty,Est_Bag_Unit_Wt
W_Mon_BR3478_TPENGO,BR,3478,Winter,Monday,TPE,NGO,窄體客機,8,0,176,15
W_Mon_BR3479_NGOKHH,BR,3479,Winter,Monday,NGO,KHH,窄體客機,8,0,176,20
W_Mon_BR3553_TPELOP,BR,3553,Winter,Monday,TPE,LOP,寬體客機,30,0,279,18
W_Mon_BR3554_LOPTPE,BR,3554,Winter,Monday,LOP,TPE,寬體客機,30,0,279,19
W_Mon_BR3689_TPEPNH,BR,3689,Winter,Monday,TPE,PNH,寬體客機,39,56,238,41
W_Mon_BR3690_PNHTPE,BR,3690,Winter,Monday,PNH,TPE,寬體客機,39,56,238,33
W_Mon_BR3693_TPEPNH,BR,3693,Winter,Tuesday,TPE,PNH,寬體客機,39,56,258,41
W_Mon_BR3694_PNHTPE,BR,3694,Winter,Monday,PNH,TPE,寬體客機,39,56,238,33
W_Mon_BR4003_YNZKHH,BR,4003,Winter,Monday,YNZ,KHH,窄體客機,8,0,176,17
W_Mon_BR4004_KHHYNZ,BR,4004,Winter,Monday,KHH,YNZ,窄體客機,8,0,176,17
W_Mon_BR4009_YNZTPE,BR,4009,Winter,Monday,YNZ,TPE,寬體客機,39,56,258,15
W_Mon_BR4010_TPEYNZ,BR,4010,Winter,Monday,TPE,YNZ,寬體客機,39,56,258,16
W_Mon_BR4019_YNZTPE,BR,4019,Winter,Monday,YNZ,TPE,寬體客機,39,56,258,15
W_Mon_BR4020_TPEYNZ,BR,4020,Winter,Monday,TPE,YNZ,寬體客機,39,56,258,16
W_Mon_BR6751_TPEPNH,BR,6751,Winter,Monday,TPE,PNH,寬體客機,39,56,238,41
W_Mon_BR6752_PNHTPE,BR,6752,Winter,Tuesday,PNH,TPE,寬體客機,39,56,238,33
W_Sat_BR3303_SJCTPE,BR,3303,Winter,Saturday,SJC,TPE,寬體客機,39,56,238,38
W_Sat_BR3304_TPESJC,BR,3304,Winter,Saturday,TPE,SJC,寬體客機,39,56,238,30
W_Sat_BR3309_SJCTPE,BR,3309,Winter,Friday,SJC,TPE,寬體客機,38,64,221,38
W_Sat_BR3310_TPESJC,BR,3310,Winter,Saturday,TPE,SJC,寬體客機,38,64,221,30
W_Sat_BR3313_SJCTPE,BR,3313,Winter,Friday,SJC,TPE,寬體客機,38,64,221,38
W_Sat_BR3314_TPESJC,BR,3314,Winter,Saturday,TPE,SJC,寬體客機,38,64,221,30
W_Sat_BR3327_IAHTPE,BR,3327,Winter,Saturday,IAH,TPE,寬體客機,39,56,238,35
W_Sat_BR3328_TPEIAH,BR,3328,Winter,Saturday,TPE,IAH,寬體客機,39,56,238,30
W_Sat_BR3329_IAHTPE,BR,3329,Winter,Saturday,IAH,TPE,寬體客機,39,56,238,35
W_Sat_BR3330_TPEIAH,BR,3330,Winter,Saturday,TPE,IAH,寬體客機,39,56,238,30
W_Sat_BR3385_TPEMXP,BR,3385,Winter,Saturday,TPE,MXP,寬體客機,38,64,221,21
W_Sat_BR3386_MXPTPE,BR,3386,Winter,Saturday,MXP,TPE,寬體客機,38,64,221,24
W_Sat_BR3427_NGOTPE,BR,3427,Winter,Saturday,NGO,TPE,窄體客機,8,0,176,19
W_Sat_BR3428_TPENGO,BR,3428,Winter,Saturday,TPE,NGO,窄體客機,8,0,176,15
W_Sat_BR3429_NGOTPE,BR,3429,Winter,Saturday,NGO,TPE,寬體客機,30,0,279,19
W_Sat_BR3430_TPENGO,BR,3430,Winter,Saturday,TPE,NGO,寬體客機,30,0,279,15
W_Sat_BR3475_NGOTPE,BR,3475,Winter,Saturday,NGO,TPE,寬體客機,24,0,228,19
W_Sat_BR3476_TPENGO,BR,3476,Winter,Sunday,TPE,NGO,寬體客機,24,0,228,15
W_Sat_BR3477_NGOTPE,BR,3477,Winter,Saturday,NGO,TPE,窄體客機,8,0,176,19
W_Sat_BR3478_TPENGO,BR,3478,Winter,Saturday,TPE,NGO,窄體客機,8,0,176,15
W_Sat_BR3479_NGOKHH,BR,3479,Winter,Saturday,NGO,KHH,窄體客機,8,0,176,20
W_Sat_BR3480_KHHNGO,BR,3480,Winter,Sunday,KHH,NGO,窄體客機,8,0,176,15
W_Sat_BR3553_TPELOP,BR,3553,Winter,Saturday,TPE,LOP,寬體客機,30,0,279,18
W_Sat_BR3554_LOPTPE,BR,3554,Winter,Saturday,LOP,TPE,寬體客機,30,0,279,19
W_Sat_BR3689_TPEPNH,BR,3689,Winter,Saturday,TPE,PNH,寬體客機,38,64,221,41
W_Sat_BR3690_PNHTPE,BR,3690,Winter,Saturday,PNH,TPE,寬體客機,38,64,221,33
W_Sat_BR3693_TPEPNH,BR,3693,Winter,Sunday,TPE,PNH,寬體客機,39,56,258,41
W_Sat_BR3694_PNHTPE,BR,3694,Winter,Saturday,PNH,TPE,寬體客機,39,56,258,33
W_Sat_BR4009_YNZTPE,BR,4009,Winter,Saturday,YNZ,TPE,寬體客機,39,56,258,15
W_Sat_BR4010_TPEYNZ,BR,4010,Winter,Saturday,TPE,YNZ,寬體客機,39,56,258,16
W_Sat_BR4019_YNZTPE,BR,4019,Winter,Saturday,YNZ,TPE,寬體客機,39,56,258,15
W_Sat_BR4020_TPEYNZ,BR,4020,Winter,Saturday,TPE,YNZ,寬體客機,39,56,258,16
W_Sat_BR6751_TPEPNH,BR,6751,Winter,Saturday,TPE,PNH,寬體客機,38,64,221,41
W_Sat_BR6752_PNHTPE,BR,6752,Winter,Sunday,PNH,TPE,寬體客機,38,64,221,33
W_Sun_BR3303_SJCTPE,BR,3303,Winter,Sunday,SJC,TPE,寬體客機,38,64,221,38
W_Sun_BR3304_TPESJC,BR,3304,Winter,Sunday,TPE,SJC,寬體客機,38,64,221,30
W_Sun_BR3309_SJCTPE,BR,3309,Winter,Saturday,SJC,TPE,寬體客機,38,64,221,38
W_Sun_BR3310_TPESJC,BR,3310,Winter,Sunday,TPE,SJC,寬體客機,38,64,221,30
W_Sun_BR3313_SJCTPE,BR,3313,Winter,Saturday,SJC,TPE,寬體客機,38,64,221,38
W_Sun_BR3314_TPESJC,BR,3314,Winter,Sunday,TPE,SJC,寬體客機,38,64,221,30
W_Sun_BR3329_IAHTPE,BR,3329,Winter,Sunday,IAH,TPE,寬體客機,39,56,238,35
W_Sun_BR3330_TPEIAH,BR,3330,Winter,Sunday,TPE,IAH,寬體客機,39,56,238,30
W_Sun_BR3385_TPEMXP,BR,3385,Winter,Sunday,TPE,MXP,寬體客機,38,64,221,21
W_Sun_BR3386_MXPTPE,BR,3386,Winter,Sunday,MXP,TPE,寬體客機,38,64,221,24
W_Sun_BR3427_NGOTPE,BR,3427,Winter,Sunday,NGO,TPE,窄體客機,8,0,176,19
W_Sun_BR3428_TPENGO,BR,3428,Winter,Sunday,TPE,NGO,窄體客機,8,0,176,15
W_Sun_BR3429_NGOTPE,BR,3429,Winter,Sunday,NGO,TPE,寬體客機,30,0,279,19
W_Sun_BR3430_TPENGO,BR,3430,Winter,Sunday,TPE,NGO,寬體客機,30,0,279,15
W_Sun_BR3475_NGOTPE,BR,3475,Winter,Sunday,NGO,TPE,寬體客機,24,0,228,19
W_Sun_BR3476_TPENGO,BR,3476,Winter,Monday,TPE,NGO,寬體客機,24,0,228,15
W_Sun_BR3477_NGOTPE,BR,3477,Winter,Sunday,NGO,TPE,窄體客機,8,0,176,19
W_Sun_BR3478_TPENGO,BR,3478,Winter,Sunday,TPE,NGO,窄體客機,8,0,176,15
W_Sun_BR3479_NGOKHH,BR,3479,Winter,Sunday,NGO,KHH,窄體客機,8,0,176,20
W_Sun_BR3480_KHHNGO,BR,3480,Winter,Monday,KHH,NGO,窄體客機,8,0,176,15
W_Sun_BR3553_TPELOP,BR,3553,Winter,Sunday,TPE,LOP,寬體客機,30,0,279,18
W_Sun_BR3554_LOPTPE,BR,3554,Winter,Sunday,LOP,TPE,寬體客機,30,0,279,19
W_Sun_BR3679_TPEPNH,BR,3679,Winter,Sunday,TPE,PNH,寬體客機,39,56,238,41
W_Sun_BR3680_PNHTPE,BR,3680,Winter,Monday,PNH,TPE,寬體客機,38,64,221,33
W_Sun_BR3689_TPEPNH,BR,3689,Winter,Sunday,TPE,PNH,寬體客機,38,64,221,41
W_Sun_BR3690_PNHTPE,BR,3690,Winter,Sunday,PNH,TPE,寬體客機,38,64,221,33
W_Sun_BR3693_TPEPNH,BR,3693,Winter,Monday,TPE,PNH,寬體客機,39,56,238,41
W_Sun_BR3694_PNHTPE,BR,3694,Winter,Sunday,PNH,TPE,寬體客機,39,56,258,33
W_Sun_BR4003_YNZKHH,BR,4003,Winter,Sunday,YNZ,KHH,窄體客機,8,0,176,17
W_Sun_BR4004_KHHYNZ,BR,4004,Winter,Sunday,KHH,YNZ,窄體客機,8,0,176,17
W_Sun_BR4009_YNZTPE,BR,4009,Winter,Sunday,YNZ,TPE,寬體客機,39,56,258,15
W_Sun_BR4010_TPEYNZ,BR,4010,Winter,Sunday,TPE,YNZ,寬體客機,39,56,258,16
W_Sun_BR4019_YNZTPE,BR,4019,Winter,Sunday,YNZ,TPE,寬體客機,39,56,258,15
W_Sun_BR4020_TPEYNZ,BR,4020,Winter,Sunday,TPE,YNZ,寬體客機,39,56,258,16
W_Sun_BR7223_YNZTSA,BR,7223,Winter,Sunday,YNZ,TSA,窄體客機,8,0,176,15
W_Sun_BR7224_TSAYNZ,BR,7224,Winter,Sunday,TSA,YNZ,窄體客機,8,0,176,14
W_Thu_BR3303_SJCTPE,BR,3303,Winter,Thursday,SJC,TPE,寬體客機,39,56,238,38
W_Thu_BR3304_TPESJC,BR,3304,Winter,Thursday,TPE,SJC,寬體客機,39,56,238,30
W_Thu_BR3309_SJCTPE,BR,3309,Winter,Wednesday,SJC,TPE,寬體客機,38,64,221,38
W_Thu_BR3310_TPESJC,BR,3310,Winter,Thursday,TPE,SJC,寬體客機,38,64,221,30
W_Thu_BR3313_SJCTPE,BR,3313,Winter,Wednesday,SJC,TPE,寬體客機,38,64,221,38
W_Thu_BR3314_TPESJC,BR,3314,Winter,Thursday,TPE,SJC,寬體客機,38,64,221,30
W_Thu_BR3327_IAHTPE,BR,3327,Winter,Thursday,IAH,TPE,寬體客機,39,56,238,35
W_Thu_BR3328_TPEIAH,BR,3328,Winter,Thursday,TPE,IAH,寬體客機,39,56,238,30
W_Thu_BR3329_IAHTPE,BR,3329,Winter,Thursday,IAH,TPE,寬體客機,39,56,238,35
W_Thu_BR3330_TPEIAH,BR,3330,Winter,Thursday,TPE,IAH,寬體客機,39,56,238,30
W_Thu_BR3385_TPEMXP,BR,3385,Winter,Thursday,TPE,MXP,寬體客機,38,64,221,21
W_Thu_BR3386_MXPTPE,BR,3386,Winter,Thursday,MXP,TPE,寬體客機,38,64,221,24
W_Thu_BR3427_NGOTPE,BR,3427,Winter,Thursday,NGO,TPE,窄體客機,8,0,176,19
W_Thu_BR3428_TPENGO,BR,3428,Winter,Thursday,TPE,NGO,窄體客機,8,0,176,15
W_Thu_BR3429_NGOTPE,BR,3429,Winter,Thursday,NGO,TPE,寬體客機,30,0,279,19
W_Thu_BR3430_TPENGO,BR,3430,Winter,Thursday,TPE,NGO,寬體客機,30,0,279,15
W_Thu_BR3476_TPENGO,BR,3476,Winter,Friday,TPE,NGO,寬體客機,24,0,228,15
W_Thu_BR3477_NGOTPE,BR,3477,Winter,Thursday,NGO,TPE,窄體客機,8,0,176,19
W_Thu_BR3478_TPENGO,BR,3478,Winter,Thursday,TPE,NGO,窄體客機,8,0,176,15
W_Thu_BR3480_KHHNGO,BR,3480,Winter,Friday,KHH,NGO,窄體客機,8,0,176,15
W_Thu_BR3689_TPEPNH,BR,3689,Winter,Thursday,TPE,PNH,寬體客機,39,56,238,41
W_Thu_BR3690_PNHTPE,BR,3690,Winter,Thursday,PNH,TPE,寬體客機,39,56,238,33
W_Thu_BR3693_TPEPNH,BR,3693,Winter,Friday,TPE,PNH,寬體客機,39,56,258,41
W_Thu_BR3694_PNHTPE,BR,3694,Winter,Thursday,PNH,TPE,寬體客機,39,56,258,33
W_Thu_BR4003_YNZKHH,BR,4003,Winter,Thursday,YNZ,KHH,窄體客機,8,0,176,17
W_Thu_BR4004_KHHYNZ,BR,4004,Winter,Thursday,KHH,YNZ,窄體客機,8,0,176,17
W_Thu_BR4009_YNZTPE,BR,4009,Winter,Thursday,YNZ,TPE,寬體客機,39,56,258,15
W_Thu_BR4010_TPEYNZ,BR,4010,Winter,Thursday,TPE,YNZ,寬體客機,39,56,258,16
W_Thu_BR4019_YNZTPE,BR,4019,Winter,Thursday,YNZ,TPE,寬體客機,39,56,258,15
W_Thu_BR4020_TPEYNZ,BR,4020,Winter,Thursday,TPE,YNZ,寬體客機,39,56,258,16
W_Thu_BR6751_TPEPNH,BR,6751,Winter,Thursday,TPE,PNH,寬體客機,38,64,221,41
W_Thu_BR6752_PNHTPE,BR,6752,Winter,Friday,PNH,TPE,寬體客機,38,64,221,33
W_Thu_BR7223_YNZTSA,BR,7223,Winter,Thursday,YNZ,TSA,窄體客機,8,0,176,15
W_Thu_BR7224_TSAYNZ,BR,7224,Winter,Thursday,TSA,YNZ,窄體客機,8,0,176,14
W_Tue_BR3303_SJCTPE,BR,3303,Winter,Tuesday,SJC,TPE,寬體客機,38,64,221,38
W_Tue_BR3304_TPESJC,BR,3304,Winter,Tuesday,TPE,SJC,寬體客機,38,64,221,30
W_Tue_BR3309_SJCTPE,BR,3309,Winter,Monday,SJC,TPE,寬體客機,38,64,221,38
W_Tue_BR3310_TPESJC,BR,3310,Winter,Tuesday,TPE,SJC,寬體客機,38,64,221,30
W_Tue_BR3313_SJCTPE,BR,3313,Winter,Monday,SJC,TPE,寬體客機,38,64,221,38
W_Tue_BR3314_TPESJC,BR,3314,Winter,Tuesday,TPE,SJC,寬體客機,38,64,221,30
W_Tue_BR3327_IAHTPE,BR,3327,Winter,Tuesday,IAH,TPE,寬體客機,39,56,258,35
W_Tue_BR3328_TPEIAH,BR,3328,Winter,Tuesday,TPE,IAH,寬體客機,39,56,258,30
W_Tue_BR3329_IAHTPE,BR,3329,Winter,Tuesday,IAH,TPE,寬體客機,39,56,238,35
W_Tue_BR3330_TPEIAH,BR,3330,Winter,Tuesday,TPE,IAH,寬體客機,39,56,238,30
W_Tue_BR3385_TPEMXP,BR,3385,Winter,Tuesday,TPE,MXP,寬體客機,38,64,221,21
W_Tue_BR3386_MXPTPE,BR,3386,Winter,Tuesday,MXP,TPE,寬體客機,38,64,221,24
W_Tue_BR3427_NGOTPE,BR,3427,Winter,Tuesday,NGO,TPE,窄體客機,8,0,176,19
W_Tue_BR3428_TPENGO,BR,3428,Winter,Tuesday,TPE,NGO,窄體客機,8,0,176,15
W_Tue_BR3429_NGOTPE,BR,3429,Winter,Tuesday,NGO,TPE,寬體客機,30,0,279,19
W_Tue_BR3430_TPENGO,BR,3430,Winter,Tuesday,TPE,NGO,寬體客機,30,0,279,15
W_Tue_BR3475_NGOTPE,BR,3475,Winter,Tuesday,NGO,TPE,寬體客機,24,0,228,19
W_Tue_BR3477_NGOTPE,BR,3477,Winter,Tuesday,NGO,TPE,窄體客機,8,0,176,19
W_Tue_BR3478_TPENGO,BR,3478,Winter,Tuesday,TPE,NGO,窄體客機,8,0,176,15
W_Tue_BR3480_KHHNGO,BR,3480,Winter,Wednesday,KHH,NGO,窄體客機,8,0,176,15
W_Tue_BR3553_TPELOP,BR,3553,Winter,Tuesday,TPE,LOP,寬體客機,30,0,279,18
W_Tue_BR3554_LOPTPE,BR,3554,Winter,Tuesday,LOP,TPE,寬體客機,30,0,279,19
W_Tue_BR3689_TPEPNH,BR,3689,Winter,Tuesday,TPE,PNH,寬體客機,39,56,238,41
W_Tue_BR3690_PNHTPE,BR,3690,Winter,Tuesday,PNH,TPE,寬體客機,39,56,238,33
W_Tue_BR3693_TPEPNH,BR,3693,Winter,Wednesday,TPE,PNH,寬體客機,39,56,258,41
W_Tue_BR3694_PNHTPE,BR,3694,Winter,Tuesday,PNH,TPE,寬體客機,39,56,258,33
W_Tue_BR4003_YNZKHH,BR,4003,Winter,Tuesday,YNZ,KHH,窄體客機,8,0,176,17
W_Tue_BR4004_KHHYNZ,BR,4004,Winter,Tuesday,KHH,YNZ,窄體客機,8,0,176,17
W_Tue_BR4009_YNZTPE,BR,4009,Winter,Tuesday,YNZ,TPE,寬體客機,39,56,238,15
W_Tue_BR4010_TPEYNZ,BR,4010,Winter,Tuesday,TPE,YNZ,寬體客機,39,56,238,16
W_Tue_BR4019_YNZTPE,BR,4019,Winter,Tuesday,YNZ,TPE,寬體客機,39,56,238,15
W_Tue_BR4020_TPEYNZ,BR,4020,Winter,Tuesday,TPE,YNZ,寬體客機,39,56,238,16
W_Tue_BR6751_TPEPNH,BR,6751,Winter,Tuesday,TPE,PNH,寬體客機,39,56,238,41
W_Tue_BR6752_PNHTPE,BR,6752,Winter,Wednesday,PNH,TPE,寬體客機,39,56,238,33
W_Tue_BR7223_YNZTSA,BR,7223,Winter,Tuesday,YNZ,TSA,窄體客機,8,0,176,15
W_Tue_BR7224_TSAYNZ,BR,7224,Winter,Tuesday,TSA,YNZ,窄體客機,8,0,176,14
W_Wed_BR3303_SJCTPE,BR,3303,Winter,Wednesday,SJC,TPE,寬體客機,38,64,221,38
W_Wed_BR3304_TPESJC,BR,3304,Winter,Wednesday,TPE,SJC,寬體客機,38,64,221,30
W_Wed_BR3309_SJCTPE,BR,3309,Winter,Tuesday,SJC,TPE,寬體客機,38,64,221,38
W_Wed_BR3310_TPESJC,BR,3310,Winter,Wednesday,TPE,SJC,寬體客機,38,64,221,30
W_Wed_BR3313_SJCTPE,BR,3313,Winter,Tuesday,SJC,TPE,寬體客機,38,64,221,38
W_Wed_BR3314_TPESJC,BR,3314,Winter,Wednesday,TPE,SJC,寬體客機,38,64,221,30
W_Wed_BR3329_IAHTPE,BR,3329,Winter,Wednesday,IAH,TPE,寬體客機,39,56,238,35
W_Wed_BR3330_TPEIAH,BR,3330,Winter,Wednesday,TPE,IAH,寬體客機,39,56,238,30
W_Wed_BR3385_TPEMXP,BR,3385,Winter,Wednesday,TPE,MXP,寬體客機,38,64,221,21
W_Wed_BR3386_MXPTPE,BR,3386,Winter,Wednesday,MXP,TPE,寬體客機,38,64,221,24
W_Wed_BR3427_NGOTPE,BR,3427,Winter,Wednesday,NGO,TPE,窄體客機,8,0,176,19
W_Wed_BR3428_TPENGO,BR,3428,Winter,Wednesday,TPE,NGO,窄體客機,8,0,176,15
W_Wed_BR3429_NGOTPE,BR,3429,Winter,Wednesday,NGO,TPE,寬體客機,30,0,279,19
W_Wed_BR3430_TPENGO,BR,3430,Winter,Wednesday,TPE,NGO,寬體客機,30,0,279,15
W_Wed_BR3477_NGOTPE,BR,3477,Winter,Wednesday,NGO,TPE,窄體客機,8,0,176,19
W_Wed_BR3478_TPENGO,BR,3478,Winter,Wednesday,TPE,NGO,窄體客機,8,0,176,15
W_Wed_BR3479_NGOKHH,BR,3479,Winter,Wednesday,NGO,KHH,窄體客機,8,0,176,20
W_Wed_BR3553_TPELOP,BR,3553,Winter,Wednesday,TPE,LOP,寬體客機,30,0,279,18
W_Wed_BR3554_LOPTPE,BR,3554,Winter,Wednesday,LOP,TPE,寬體客機,30,0,279,19
W_Wed_BR3679_TPEPNH,BR,3679,Winter,Wednesday,TPE,PNH,寬體客機,38,64,221,41
W_Wed_BR3680_PNHTPE,BR,3680,Winter,Thursday,PNH,TPE,寬體客機,38,64,221,33
W_Wed_BR3689_TPEPNH,BR,3689,Winter,Wednesday,TPE,PNH,寬體客機,38,64,221,41
W_Wed_BR3690_PNHTPE,BR,3690,Winter,Wednesday,PNH,TPE,寬體客機,38,64,221,33
W_Wed_BR3693_TPEPNH,BR,3693,Winter,Thursday,TPE,PNH,寬體客機,39,56,258,41
W_Wed_BR3694_PNHTPE,BR,3694,Winter,Wednesday,PNH,TPE,寬體客機,39,56,258,33
W_Wed_BR4009_YNZTPE,BR,4009,Winter,Wednesday,YNZ,TPE,寬體客機,39,56,258,15
W_Wed_BR4010_TPEYNZ,BR,4010,Winter,Wednesday,TPE,YNZ,寬體客機,39,56,258,16
W_Wed_BR4019_YNZTPE,BR,4019,Winter,Wednesday,YNZ,TPE,寬體客機,39,56,258,15
W_Wed_BR4020_TPEYNZ,BR,4020,Winter,Wednesday,TPE,YNZ,寬體客機,39,56,258,16
