Tvl_Seq,Seg_Id,OD_Grp_Id,Ori_Region_Desc,Dest_Region_Desc,Dep_Region_Desc,Arr_Region_Desc
104505565,3,2,N. AMERICA,TAIWAN,N. AMERICA,TAIWAN
104575025,4,2,EUROPE,TAIWAN,EUROPE,TAIWAN
104589337,39,2,N. AMERICA,TAIWAN,N. AMERICA,TAIWAN
104590944,3,2,N. AMERICA,S. E. ASIA,N. AMERICA,S. E. ASIA
104632370,25,2,TAIWAN,S. E. ASIA,TAIWAN,S. E. ASIA
104659311,3,2,N. AMERICA,S. E. ASIA,N. AMERICA,S. E. ASIA
104687078,5,2,N. AMERICA,S. E. ASIA,N. AMERICA,S. E. ASIA
104713890,13,1,N. AMERICA,CHINA,N. AMERICA,CHINA
104760352,2,2,JAPAN/KOREA,TAIWAN,JAPAN/KOREA,TAIWAN
104763379,3,1,TAIWAN,JAPAN/KOREA,TAIWAN,JAPAN/KOREA
104763593,4,2,S. E. ASIA,N. AMERICA,S. E. ASIA,N. AMERICA
104777280,4,2,JAPAN/KOREA,TAIWAN,JAPAN/KOREA,TAIWAN
104782372,25,2,EUROPE,TAIWAN,EUROPE,TAIWAN
104793041,3,2,N. AMERICA,S. E. ASIA,N. AMERICA,S. E. ASIA
104795973,23,2,EUROPE,TAIWAN,EUROPE,TAIWAN
104808767,6,2,S. E. ASIA,TAIWAN,S. E. ASIA,TAIWAN
104811289,10,2,CHINA,TAIWAN,CHINA,TAIWAN
104813602,23,2,EUROPE,TAIWAN,EUROPE,TAIWAN
104820417,3,1,TAIWAN,JAPAN/KOREA,TAIWAN,JAPAN/KOREA
104836873,10,2,EUROPE,TAIWAN,EUROPE,TAIWAN
104846628,1,1,TAIWAN,JAPAN/KOREA,TAIWAN,JAPAN/KOREA
104855939,1,1,TAIWAN,N. AMERICA,TAIWAN,N. AMERICA
104856466,1,1,JAPAN/KOREA,TAIWAN,JAPAN/KOREA,TAIWAN
104914389,37,2,S. E. ASIA,N. AMERICA,S. E. ASIA,N. AMERICA
104922028,1,1,TAIWAN,JAPAN/KOREA,TAIWAN,JAPAN/KOREA
104927103,6,1,TAIWAN,JAPAN/KOREA,TAIWAN,JAPAN/KOREA
104929927,3,2,N. AMERICA,HKG/MFM,N. AMERICA,HKG/MFM
104934854,1,1,TAIWAN,JAPAN/KOREA,TAIWAN,JAPAN/KOREA
104944125,10,2,CHINA,TAIWAN,CHINA,TAIWAN
104981788,1,1,EUROPE,S. E. ASIA,EUROPE,S. E. ASIA
105007805,1,1,TAIWAN,JAPAN/KOREA,TAIWAN,JAPAN/KOREA
105011110,1,1,EUROPE,S. E. ASIA,EUROPE,S. E. ASIA
105011110,2,1,EUROPE,S. E. ASIA,EUROPE,S. E. ASIA
105061381,9,2,JAPAN/KOREA,TAIWAN,JAPAN/KOREA,TAIWAN
105099504,1,1,TAIWAN,JAPAN/KOREA,TAIWAN,JAPAN/KOREA
105101918,11,1,TAIWAN,JAPAN/KOREA,TAIWAN,JAPAN/KOREA
105106587,2,2,TAIWAN,N. AMERICA,TAIWAN,N. AMERICA
105115903,5,1,HKG/MFM,JAPAN/KOREA,HKG/MFM,JAPAN/KOREA
105157443,4,2,TAIWAN,CHINA,TAIWAN,CHINA
105190535,3,2,N. AMERICA,HKG/MFM,N. AMERICA,HKG/MFM
105255320,6,1,TAIWAN,N. AMERICA,TAIWAN,N. AMERICA
105259182,3,2,TAIWAN,N. AMERICA,TAIWAN,N. AMERICA
105301779,1,1,TAIWAN,JAPAN/KOREA,TAIWAN,JAPAN/KOREA
105304498,3,1,S. E. ASIA,N. AMERICA,TAIWAN,N. AMERICA
105304630,1,1,TAIWAN,JAPAN/KOREA,TAIWAN,JAPAN/KOREA
105328616,2,2,N. AMERICA,TAIWAN,N. AMERICA,TAIWAN
105328616,3,3,N. AMERICA,TAIWAN,N. AMERICA,TAIWAN
105330294,5,2,N. AMERICA,TAIWAN,N. AMERICA,TAIWAN
105375384,5,2,N. AMERICA,TAIWAN,N. AMERICA,TAIWAN
105386064,5,2,EUROPE,TAIWAN,EUROPE,TAIWAN
105453671,16,2,N. AMERICA,S. E. ASIA,N. AMERICA,S. E. ASIA
105461816,3,2,EUROPE,TAIWAN,EUROPE,TAIWAN
105468056,7,2,TAIWAN,N. AMERICA,TAIWAN,N. AMERICA
105474292,4,2,CHINA,N. AMERICA,CHINA,N. AMERICA
105526150,3,1,S. E. ASIA,N. AMERICA,TAIWAN,N. AMERICA
105644341,2,1,HKG/MFM,N. AMERICA,HKG/MFM,N. AMERICA
105650117,9,2,N. AMERICA,TAIWAN,N. AMERICA,TAIWAN
105662982,9,2,N. AMERICA,TAIWAN,N. AMERICA,TAIWAN
105663831,4,2,N. AMERICA,TAIWAN,N. AMERICA,TAIWAN
105685517,3,2,S. E. ASIA,N. AMERICA,S. E. ASIA,N. AMERICA
105727311,3,2,S. E. ASIA,N. AMERICA,S. E. ASIA,N. AMERICA
105728677,6,1,N. AMERICA,S. E. ASIA,N. AMERICA,S. E. ASIA
105729226,3,2,S. E. ASIA,N. AMERICA,S. E. ASIA,N. AMERICA
105732733,4,2,S. E. ASIA,EUROPE,S. E. ASIA,EUROPE
105732733,3,2,S. E. ASIA,EUROPE,S. E. ASIA,EUROPE
105735637,2,1,HKG/MFM,N. AMERICA,HKG/MFM,N. AMERICA
105737230,2,1,HKG/MFM,N. AMERICA,HKG/MFM,N. AMERICA
105738893,2,1,HKG/MFM,N. AMERICA,HKG/MFM,N. AMERICA
105745112,10,1,N. AMERICA,S. E. ASIA,N. AMERICA,S. E. ASIA
105748444,5,2,JAPAN/KOREA,TAIWAN,JAPAN/KOREA,TAIWAN
105750182,12,1,TAIWAN,CHINA,TAIWAN,CHINA
105788627,2,2,JAPAN/KOREA,TAIWAN,JAPAN/KOREA,TAIWAN
105815672,5,2,EUROPE,TAIWAN,EUROPE,TAIWAN
105826026,3,2,S. E. ASIA,TAIWAN,S. E. ASIA,TAIWAN
105828306,6,2,S. E. ASIA,N. AMERICA,S. E. ASIA,N. AMERICA
105834905,5,1,TAIWAN,JAPAN/KOREA,TAIWAN,JAPAN/KOREA
105840383,7,2,TAIWAN,EUROPE,TAIWAN,EUROPE
105856002,2,1,N. AMERICA,S. E. ASIA,N. AMERICA,S. E. ASIA
105933499,2,2,JAPAN/KOREA,TAIWAN,JAPAN/KOREA,TAIWAN
105982693,15,2,S. E. ASIA,N. AMERICA,S. E. ASIA,N. AMERICA
105984551,6,1,N. AMERICA,S. E. ASIA,N. AMERICA,S. E. ASIA
105986168,5,2,N. AMERICA,TAIWAN,N. AMERICA,TAIWAN
105987160,4,2,CHINA,TAIWAN,CHINA,TAIWAN
105995725,15,3,CHINA,TAIWAN,CHINA,TAIWAN
106045753,3,2,N. AMERICA,HKG/MFM,N. AMERICA,HKG/MFM
106048621,3,2,N. AMERICA,HKG/MFM,N. AMERICA,HKG/MFM
106055573,2,2,TAIWAN,N. AMERICA,TAIWAN,N. AMERICA
106065451,4,2,S. E. ASIA,TAIWAN,S. E. ASIA,TAIWAN
106088008,7,2,N. AMERICA,TAIWAN,N. AMERICA,TAIWAN
106094540,2,2,JAPAN/KOREA,TAIWAN,JAPAN/KOREA,TAIWAN
106098297,6,1,JAPAN/KOREA,TAIWAN,JAPAN/KOREA,TAIWAN
106111275,2,2,JAPAN/KOREA,TAIWAN,JAPAN/KOREA,TAIWAN
106132772,2,2,JAPAN/KOREA,TAIWAN,JAPAN/KOREA,TAIWAN
106168168,2,1,N. AMERICA,S. E. ASIA,N. AMERICA,S. E. ASIA
106169484,3,1,N. AMERICA,S. E. ASIA,JAPAN/KOREA,S. E. ASIA
106169671,2,2,TAIWAN,N. AMERICA,TAIWAN,N. AMERICA
106196227,2,1,HKG/MFM,N. AMERICA,HKG/MFM,N. AMERICA
106203498,2,1,HKG/MFM,N. AMERICA,HKG/MFM,N. AMERICA
106247624,5,2,S. E. ASIA,TAIWAN,S. E. ASIA,TAIWAN
106249580,1,1,N. AMERICA,S. W. PACIFIC,N. AMERICA,S. W. PACIFIC
106256610,4,2,EUROPE,TAIWAN,EUROPE,TAIWAN
106314276,13,2,S. E. ASIA,N. AMERICA,S. E. ASIA,N. AMERICA
106328850,2,1,HKG/MFM,N. AMERICA,HKG/MFM,N. AMERICA
106330459,2,1,HKG/MFM,N. AMERICA,HKG/MFM,N. AMERICA
106331935,13,1,N. AMERICA,TAIWAN,N. AMERICA,TAIWAN
106345302,6,2,S. E. ASIA,TAIWAN,S. E. ASIA,TAIWAN
106347462,3,2,S. E. ASIA,N. AMERICA,S. E. ASIA,N. AMERICA
106362256,7,2,S. E. ASIA,TAIWAN,S. E. ASIA,TAIWAN
106382649,4,2,CHINA,TAIWAN,CHINA,TAIWAN
106404348,2,1,HKG/MFM,N. AMERICA,HKG/MFM,N. AMERICA
106424100,10,1,N. AMERICA,S. E. ASIA,N. AMERICA,S. E. ASIA
106425133,3,2,S. E. ASIA,TAIWAN,S. E. ASIA,TAIWAN
106430072,6,2,N. AMERICA,TAIWAN,N. AMERICA,TAIWAN
106463269,5,2,S. W. PACIFIC,N. AMERICA,S. W. PACIFIC,N. AMERICA
106473693,6,2,S. E. ASIA,N. AMERICA,S. E. ASIA,N. AMERICA
106476749,4,2,EUROPE,TAIWAN,EUROPE,TAIWAN
106478191,1,1,TAIWAN,JAPAN/KOREA,TAIWAN,JAPAN/KOREA
106478402,1,1,TAIWAN,JAPAN/KOREA,TAIWAN,JAPAN/KOREA
106483034,2,2,JAPAN/KOREA,TAIWAN,JAPAN/KOREA,TAIWAN
106483075,2,2,JAPAN/KOREA,TAIWAN,JAPAN/KOREA,TAIWAN
106485145,1,1,TAIWAN,JAPAN/KOREA,TAIWAN,JAPAN/KOREA
106487378,10,2,S. E. ASIA,N. AMERICA,S. E. ASIA,N. AMERICA
106487494,1,1,TAIWAN,JAPAN/KOREA,TAIWAN,JAPAN/KOREA
106487564,4,2,S. E. ASIA,N. AMERICA,S. E. ASIA,N. AMERICA
106493228,5,2,S. E. ASIA,N. AMERICA,S. E. ASIA,N. AMERICA
106495956,4,1,N. AMERICA,S. E. ASIA,N. AMERICA,S. E. ASIA
106497633,4,2,JAPAN/KOREA,TAIWAN,JAPAN/KOREA,TAIWAN
106512233,1,1,JAPAN/KOREA,TAIWAN,JAPAN/KOREA,TAIWAN
106512233,3,2,TAIWAN,JAPAN/KOREA,TAIWAN,JAPAN/KOREA
106515052,5,2,JAPAN/KOREA,TAIWAN,JAPAN/KOREA,TAIWAN
106539851,3,2,EUROPE,HKG/MFM,EUROPE,HKG/MFM
106564348,2,1,HKG/MFM,N. AMERICA,HKG/MFM,N. AMERICA
106570954,3,2,EUROPE,HKG/MFM,EUROPE,HKG/MFM
106580659,4,2,S. E. ASIA,N. AMERICA,S. E. ASIA,N. AMERICA
106582777,3,2,EUROPE,HKG/MFM,EUROPE,HKG/MFM
106585024,2,1,HKG/MFM,EUROPE,HKG/MFM,EUROPE
106585297,2,1,HKG/MFM,EUROPE,HKG/MFM,EUROPE
106587485,2,1,HKG/MFM,EUROPE,HKG/MFM,EUROPE
106587919,2,1,HKG/MFM,EUROPE,HKG/MFM,EUROPE
106588174,3,2,EUROPE,HKG/MFM,EUROPE,HKG/MFM
106590064,3,2,EUROPE,HKG/MFM,EUROPE,HKG/MFM
106592504,2,1,HKG/MFM,EUROPE,HKG/MFM,EUROPE
106592532,2,1,HKG/MFM,EUROPE,HKG/MFM,EUROPE
106594175,2,1,HKG/MFM,EUROPE,HKG/MFM,EUROPE
106594654,2,2,JAPAN/KOREA,TAIWAN,JAPAN/KOREA,TAIWAN
106605860,3,2,EUROPE,HKG/MFM,EUROPE,HKG/MFM
106607020,3,1,S. E. ASIA,N. AMERICA,S. E. ASIA,N. AMERICA
106610097,2,1,HKG/MFM,N. AMERICA,HKG/MFM,N. AMERICA
106612703,2,1,N. AMERICA,S. E. ASIA,N. AMERICA,S. E. ASIA
106615362,2,2,JAPAN/KOREA,TAIWAN,JAPAN/KOREA,TAIWAN
106615362,1,1,TAIWAN,JAPAN/KOREA,TAIWAN,JAPAN/KOREA
106616274,2,1,HKG/MFM,EUROPE,HKG/MFM,EUROPE
106635311,2,1,HKG/MFM,EUROPE,HKG/MFM,EUROPE
106649348,3,2,S. E. ASIA,N. AMERICA,S. E. ASIA,N. AMERICA
106650325,2,1,HKG/MFM,EUROPE,HKG/MFM,EUROPE
106650383,2,2,EUROPE,TAIWAN,EUROPE,TAIWAN
106650935,5,2,EUROPE,HKG/MFM,EUROPE,HKG/MFM
106651779,3,2,S. E. ASIA,EUROPE,S. E. ASIA,EUROPE
106651779,4,2,S. E. ASIA,EUROPE,S. E. ASIA,EUROPE
106651911,2,2,EUROPE,TAIWAN,EUROPE,TAIWAN
106652051,2,1,HKG/MFM,EUROPE,HKG/MFM,EUROPE
106652212,5,2,EUROPE,HKG/MFM,EUROPE,HKG/MFM
106665598,7,2,N. AMERICA,TAIWAN,N. AMERICA,TAIWAN
106673049,3,1,TAIWAN,JAPAN/KOREA,TAIWAN,JAPAN/KOREA
106676348,4,2,EUROPE,TAIWAN,JAPAN/KOREA,TAIWAN
106678785,3,2,EUROPE,HKG/MFM,EUROPE,HKG/MFM
106679639,2,1,HKG/MFM,N. AMERICA,HKG/MFM,N. AMERICA
106682368,3,2,EUROPE,HKG/MFM,EUROPE,HKG/MFM
106683473,3,2,EUROPE,HKG/MFM,EUROPE,HKG/MFM
106684608,2,1,N. AMERICA,S. E. ASIA,N. AMERICA,S. E. ASIA
106688578,4,2,S. E. ASIA,EUROPE,S. E. ASIA,EUROPE
106688578,3,2,S. E. ASIA,EUROPE,S. E. ASIA,EUROPE
106690409,2,2,JAPAN/KOREA,TAIWAN,JAPAN/KOREA,TAIWAN
106690409,1,1,TAIWAN,JAPAN/KOREA,TAIWAN,JAPAN/KOREA
106693141,3,2,N. AMERICA,HKG/MFM,N. AMERICA,HKG/MFM
106693681,1,1,TAIWAN,JAPAN/KOREA,TAIWAN,JAPAN/KOREA
106693681,2,2,JAPAN/KOREA,TAIWAN,JAPAN/KOREA,TAIWAN
106694797,3,2,EUROPE,HKG/MFM,EUROPE,HKG/MFM
106697078,3,2,EUROPE,HKG/MFM,EUROPE,HKG/MFM
106709735,2,2,EUROPE,TAIWAN,EUROPE,TAIWAN
106709934,17,2,N. AMERICA,S. E. ASIA,N. AMERICA,S. E. ASIA
106712677,2,2,EUROPE,TAIWAN,EUROPE,TAIWAN
106715843,2,2,EUROPE,TAIWAN,EUROPE,TAIWAN
106716027,9,2,S. E. ASIA,N. AMERICA,S. E. ASIA,N. AMERICA
106716027,10,2,S. E. ASIA,N. AMERICA,S. E. ASIA,N. AMERICA
106716682,2,2,EUROPE,TAIWAN,EUROPE,TAIWAN
106718048,3,2,S. E. ASIA,EUROPE,S. E. ASIA,EUROPE
106718048,4,2,S. E. ASIA,EUROPE,S. E. ASIA,EUROPE
106723618,2,2,EUROPE,TAIWAN,EUROPE,TAIWAN
106726289,2,1,HKG/MFM,EUROPE,HKG/MFM,EUROPE
106726610,2,1,HKG/MFM,EUROPE,HKG/MFM,EUROPE
106729143,3,1,TAIWAN,S. E. ASIA,TAIWAN,S. E. ASIA
106732110,7,1,TAIWAN,S. E. ASIA,TAIWAN,S. E. ASIA
106747372,2,1,HKG/MFM,EUROPE,HKG/MFM,EUROPE
106752292,6,2,N. AMERICA,TAIWAN,N. AMERICA,TAIWAN
106761482,3,2,N. AMERICA,HKG/MFM,N. AMERICA,HKG/MFM
106763526,3,2,EUROPE,S. W. PACIFIC,EUROPE,S. W. PACIFIC
106768428,2,2,JAPAN/KOREA,TAIWAN,JAPAN/KOREA,TAIWAN
106786723,1,1,TAIWAN,JAPAN/KOREA,TAIWAN,JAPAN/KOREA
106796583,3,2,EUROPE,HKG/MFM,EUROPE,HKG/MFM
106796994,2,2,EUROPE,TAIWAN,EUROPE,TAIWAN
106799770,27,2,JAPAN/KOREA,TAIWAN,JAPAN/KOREA,TAIWAN
106804882,4,2,JAPAN/KOREA,TAIWAN,JAPAN/KOREA,TAIWAN
106808488,2,2,JAPAN/KOREA,TAIWAN,JAPAN/KOREA,TAIWAN
106816539,3,2,EUROPE,HKG/MFM,EUROPE,HKG/MFM
106819427,3,2,S. E. ASIA,N. AMERICA,S. E. ASIA,N. AMERICA
106819427,4,2,S. E. ASIA,N. AMERICA,S. E. ASIA,N. AMERICA
106819872,3,2,S. E. ASIA,N. AMERICA,S. E. ASIA,N. AMERICA
106819872,4,2,S. E. ASIA,N. AMERICA,S. E. ASIA,N. AMERICA
106822404,4,2,S. E. ASIA,N. AMERICA,S. E. ASIA,N. AMERICA
106824272,4,2,TAIWAN,N. AMERICA,TAIWAN,N. AMERICA
106829000,4,2,S. E. ASIA,N. AMERICA,S. E. ASIA,N. AMERICA
106829422,2,2,EUROPE,TAIWAN,EUROPE,TAIWAN
106832956,2,2,JAPAN/KOREA,TAIWAN,JAPAN/KOREA,TAIWAN
106833864,3,2,EUROPE,HKG/MFM,EUROPE,HKG/MFM
106839323,1,1,TAIWAN,EUROPE,TAIWAN,EUROPE
106842589,4,2,S. E. ASIA,N. AMERICA,S. E. ASIA,N. AMERICA
106842589,3,2,S. E. ASIA,N. AMERICA,S. E. ASIA,N. AMERICA
106850100,12,2,JAPAN/KOREA,TAIWAN,JAPAN/KOREA,TAIWAN
106851507,2,2,EUROPE,TAIWAN,EUROPE,TAIWAN
106862707,6,2,EUROPE,HKG/MFM,EUROPE,HKG/MFM
106863135,1,1,TAIWAN,S. E. ASIA,TAIWAN,S. E. ASIA
106864139,3,2,N. AMERICA,HKG/MFM,N. AMERICA,HKG/MFM
106864692,3,1,TAIWAN,EUROPE,TAIWAN,EUROPE
106866735,3,2,EUROPE,HKG/MFM,EUROPE,HKG/MFM
106870161,3,2,N. AMERICA,HKG/MFM,N. AMERICA,HKG/MFM
106874294,15,2,N. AMERICA,TAIWAN,N. AMERICA,TAIWAN
106875364,1,1,TAIWAN,S. E. ASIA,TAIWAN,S. E. ASIA
106875844,2,2,CHINA,TAIWAN,CHINA,TAIWAN
106876465,10,2,EUROPE,TAIWAN,EUROPE,TAIWAN
106877547,3,2,EUROPE,HKG/MFM,EUROPE,HKG/MFM
106877694,3,2,EUROPE,HKG/MFM,EUROPE,HKG/MFM
106877915,2,2,EUROPE,TAIWAN,EUROPE,TAIWAN
106877935,3,2,EUROPE,HKG/MFM,EUROPE,HKG/MFM
106880282,3,2,S. E. ASIA,TAIWAN,S. E. ASIA,TAIWAN
106880811,2,1,TAIWAN,S. E. ASIA,TAIWAN,S. E. ASIA
106886202,1,1,JAPAN/KOREA,TAIWAN,JAPAN/KOREA,TAIWAN
106900755,2,1,HKG/MFM,EUROPE,HKG/MFM,EUROPE
106901689,2,1,HKG/MFM,N. AMERICA,HKG/MFM,N. AMERICA
106906694,2,1,HKG/MFM,N. AMERICA,HKG/MFM,N. AMERICA
106906949,1,1,N. AMERICA,S. E. ASIA,N. AMERICA,S. E. ASIA
106906949,2,1,N. AMERICA,S. E. ASIA,N. AMERICA,S. E. ASIA
106907569,2,1,HKG/MFM,EUROPE,HKG/MFM,EUROPE
106910932,1,1,N. AMERICA,S. E. ASIA,N. AMERICA,S. E. ASIA
106910932,2,1,N. AMERICA,S. E. ASIA,N. AMERICA,S. E. ASIA
106911427,1,1,N. AMERICA,S. E. ASIA,N. AMERICA,S. E. ASIA
106911427,2,1,N. AMERICA,S. E. ASIA,N. AMERICA,S. E. ASIA
106919978,2,1,HKG/MFM,EUROPE,HKG/MFM,EUROPE
106928564,2,1,HKG/MFM,EUROPE,HKG/MFM,EUROPE
106934273,4,3,N. AMERICA,S. E. ASIA,N. AMERICA,S. E. ASIA
106937942,2,2,EUROPE,TAIWAN,EUROPE,TAIWAN
106940190,1,1,JAPAN/KOREA,TAIWAN,JAPAN/KOREA,TAIWAN
106943172,3,2,EUROPE,HKG/MFM,EUROPE,HKG/MFM
106950562,3,2,EUROPE,HKG/MFM,EUROPE,HKG/MFM
106959028,7,3,TAIWAN,EUROPE,TAIWAN,EUROPE
106960392,1,1,JAPAN/KOREA,HKG/MFM,JAPAN/KOREA,HKG/MFM
106976604,6,3,EUROPE,TAIWAN,CHINA,TAIWAN
106980451,2,2,EUROPE,TAIWAN,EUROPE,TAIWAN
106981860,2,1,N. AMERICA,S. E. ASIA,N. AMERICA,S. E. ASIA
106984122,3,2,JAPAN/KOREA,TAIWAN,JAPAN/KOREA,TAIWAN
106985658,4,2,N. AMERICA,S. E. ASIA,N. AMERICA,S. E. ASIA
106992031,2,2,EUROPE,TAIWAN,EUROPE,TAIWAN
106992508,1,1,N. AMERICA,S. E. ASIA,N. AMERICA,S. E. ASIA
106992508,2,1,N. AMERICA,S. E. ASIA,N. AMERICA,S. E. ASIA
106992514,4,2,S. E. ASIA,N. AMERICA,S. E. ASIA,N. AMERICA
106992986,1,1,TAIWAN,JAPAN/KOREA,TAIWAN,JAPAN/KOREA
106995433,43,2,JAPAN/KOREA,TAIWAN,JAPAN/KOREA,TAIWAN
107002679,5,2,TAIWAN,N. AMERICA,TAIWAN,N. AMERICA
107005428,3,2,EUROPE,HKG/MFM,EUROPE,HKG/MFM
107008095,3,2,N. AMERICA,HKG/MFM,N. AMERICA,HKG/MFM
107008694,2,2,S. E. ASIA,TAIWAN,S. E. ASIA,TAIWAN
107010677,1,1,TAIWAN,JAPAN/KOREA,TAIWAN,JAPAN/KOREA
107010760,1,1,TAIWAN,JAPAN/KOREA,TAIWAN,JAPAN/KOREA
107011560,1,1,TAIWAN,EUROPE,TAIWAN,EUROPE
107012608,1,1,TAIWAN,JAPAN/KOREA,TAIWAN,JAPAN/KOREA
107019343,2,1,N. AMERICA,S. E. ASIA,N. AMERICA,S. E. ASIA
107019343,1,1,N. AMERICA,S. E. ASIA,N. AMERICA,S. E. ASIA
107026106,7,2,EUROPE,TAIWAN,EUROPE,TAIWAN
107028910,3,2,EUROPE,HKG/MFM,EUROPE,HKG/MFM
107032769,3,1,TAIWAN,EUROPE,TAIWAN,EUROPE
107042574,22,4,TAIWAN,EUROPE,TAIWAN,EUROPE
107043186,1,1,TAIWAN,JAPAN/KOREA,TAIWAN,JAPAN/KOREA
107045987,4,2,S. E. ASIA,N. AMERICA,S. E. ASIA,N. AMERICA
107046296,1,1,TAIWAN,JAPAN/KOREA,TAIWAN,JAPAN/KOREA
107049663,2,2,N. AMERICA,TAIWAN,N. AMERICA,TAIWAN
107055717,3,2,EUROPE,HKG/MFM,EUROPE,HKG/MFM
107056349,1,1,TAIWAN,JAPAN/KOREA,TAIWAN,JAPAN/KOREA
107060219,1,1,S. E. ASIA,N. AMERICA,S. E. ASIA,N. AMERICA
107063272,2,2,S. E. ASIA,TAIWAN,S. E. ASIA,TAIWAN
107068572,1,1,TAIWAN,JAPAN/KOREA,TAIWAN,JAPAN/KOREA
107075947,4,2,N. AMERICA,TAIWAN,N. AMERICA,TAIWAN
107079914,3,1,S. E. ASIA,TAIWAN,S. E. ASIA,TAIWAN
107087789,1,1,TAIWAN,S. E. ASIA,TAIWAN,S. E. ASIA
107088802,2,1,HKG/MFM,N. AMERICA,HKG/MFM,N. AMERICA
107096156,2,2,EUROPE,TAIWAN,EUROPE,TAIWAN
107098005,2,2,EUROPE,TAIWAN,EUROPE,TAIWAN
107111441,1,1,TAIWAN,JAPAN/KOREA,TAIWAN,JAPAN/KOREA
107118827,3,2,S. E. ASIA,TAIWAN,S. E. ASIA,TAIWAN
107129198,2,2,EUROPE,TAIWAN,EUROPE,TAIWAN
107151756,2,1,HKG/MFM,N. AMERICA,HKG/MFM,N. AMERICA
107153752,2,1,HKG/MFM,N. AMERICA,HKG/MFM,N. AMERICA
107153939,2,1,N. AMERICA,S. E. ASIA,N. AMERICA,S. E. ASIA
107168395,5,1,TAIWAN,JAPAN/KOREA,TAIWAN,JAPAN/KOREA
107175036,3,2,N. AMERICA,S. E. ASIA,N. AMERICA,S. E. ASIA
107186439,7,1,TAIWAN,N. AMERICA,TAIWAN,N. AMERICA
107187364,27,3,TAIWAN,JAPAN/KOREA,TAIWAN,JAPAN/KOREA
107187939,3,2,S. E. ASIA,N. AMERICA,S. E. ASIA,N. AMERICA
107190310,4,2,N. AMERICA,TAIWAN,N. AMERICA,TAIWAN
107194069,2,2,EUROPE,TAIWAN,EUROPE,TAIWAN
107195547,2,2,JAPAN/KOREA,TAIWAN,JAPAN/KOREA,TAIWAN
107197158,2,2,JAPAN/KOREA,TAIWAN,JAPAN/KOREA,TAIWAN
107205863,8,2,N. AMERICA,TAIWAN,N. AMERICA,TAIWAN
107207146,6,2,N. AMERICA,TAIWAN,N. AMERICA,TAIWAN
107209322,2,2,JAPAN/KOREA,TAIWAN,JAPAN/KOREA,TAIWAN
107216076,2,1,HKG/MFM,N. AMERICA,HKG/MFM,N. AMERICA
107217045,3,1,S. E. ASIA,TAIWAN,S. E. ASIA,TAIWAN
107219519,5,2,N. AMERICA,TAIWAN,N. AMERICA,TAIWAN
107219880,2,2,EUROPE,TAIWAN,EUROPE,TAIWAN
107220363,2,1,HKG/MFM,N. AMERICA,HKG/MFM,N. AMERICA
107220446,2,2,EUROPE,TAIWAN,EUROPE,TAIWAN
107222581,2,2,EUROPE,TAIWAN,EUROPE,TAIWAN
107222629,2,2,N. AMERICA,TAIWAN,N. AMERICA,TAIWAN
107222879,2,1,HKG/MFM,N. AMERICA,HKG/MFM,N. AMERICA
107239850,3,2,EUROPE,HKG/MFM,EUROPE,HKG/MFM
