TC_Area_Cd,TC_Area_Desc,Region_Cd,Region_Desc,Cntry_Cd,Cntry_3_Ltr_Cd,Cntry_Desc,Cty_Cd,Cty_Desc,Apt_Cd,Apt_Desc
1,TC1    ,C.A,C. AMERICA,HN,HND,HONDURAS,RTB,ROATAN,RTB,ROATAN                        
1,TC1    ,C.A,C. AMERICA,HN,HND,HONDURAS,SAP,SAN PEDRO SULA,SAP,SAP                           
1,TC1    ,C.A,C. AMERICA,HN,HND,HONDURAS,SDH,SANTA ROSA DE COPAN,SDH,SANTA ROSA DE COPAN           
1,TC1    ,C.A,C. AMERICA,HN,HND,HONDURAS,TCF,TOCOA,TCF,TOCOA                         
1,TC1    ,C.A,C. AMERICA,HN,HND,HONDURAS,TGU,TEGUCIGALPA,TGU,TGU                           
1,TC1    ,C.A,C. AMERICA,HN,HND,HONDURAS,TJI,TRUJILLO,TJI,TRUJILLO                      
1,TC1    ,C.A,C. AMERICA,HN,HND,HONDURAS,UII,UTILA,UII,UTILA                         
1,TC1    ,C.A,C. AMERICA,HN,HND,HONDURAS,XPL,COMAYAGUA,XPL,CORONEL ENRIQUE SOTO CANO AB  
1,TC1    ,C.A,C. AMERICA,NI,NIC,NICARAGUA,BZA,BONANZA,BZA,BONANZA                       
1,TC1    ,C.A,C. AMERICA,NI,NIC,NICARAGUA,MGA,MANAGUA,MGA,MANAGUA                       
1,TC1    ,C.A,C. AMERICA,NI,NIC,NICARAGUA,NCR,SAN CARLOS,NCR,SAN CARLOS                    
1,TC1    ,C.A,C. AMERICA,NI,NIC,NICARAGUA,NVG,NUEVA GUINEA,NVG,NUEVA GUINEA                  
1,TC1    ,C.A,C. AMERICA,NI,NIC,NICARAGUA,PUZ,PUERTO CABEZAS,PUZ,PUERTO CABEZAS                
1,TC1    ,C.A,C. AMERICA,NI,NIC,NICARAGUA,RFS,ROSITA,RFS,ROSITA                        
1,TC1    ,C.A,C. AMERICA,NI,NIC,NICARAGUA,RNI,CORN ISLAND,RNI,CORN ISLAND                   
1,TC1    ,C.A,C. AMERICA,NI,NIC,NICARAGUA,SIU,SIUNA,SIU,SIUNA                         
1,TC1    ,C.A,C. AMERICA,NI,NIC,NICARAGUA,WSP,WASPAM,WSP,WASPAM                        
1,TC1    ,C.A,C. AMERICA,SV,SLV,EL SALVADOR,ILS,ILOPANGO,ILS,ILOPANGO                      
1,TC1    ,C.A,C. AMERICA,SV,SLV,EL SALVADOR,SAL,SAN SALVADOR,SAL,SAN SALVADOR                  
1,TC1    ,C.A,C. AMERICA,UM,UMI,UNITED STATES MINOR OUTLYING,AWK,WAKE ISL,AWK,WAKE ISL                      
1,TC1    ,C.A,C. AMERICA,UM,UMI,UNITED STATES MINOR OUTLYING,JON,JOHNSTON ISL,JON,JOHNSTON ISL                  
1,TC1    ,C.A,C. AMERICA,UM,UMI,UNITED STATES MINOR OUTLYING,MDY,MIDWAY ISL,MDY,MIDWAY ISL                    
1,TC1    ,CAR,CARIBBEAN,AG,ATG,ANTIGUA AND BARBUDA,ANU,ANTIGUA,ANU,ANU                           
1,TC1    ,CAR,CARIBBEAN,AG,ATG,ANTIGUA AND BARBUDA,BBQ,BARBUDA,BBQ,BARBUDA                       
1,TC1    ,CAR,CARIBBEAN,AI,AIA,ANGUILLA,AXA,ANQUILLA,AXA,ANQUILLA                      
1,TC1    ,CAR,CARIBBEAN,AN,ANT,NETHERLANDS ANTILLES,BON,BONAIRE,BON,BONAIRE                       
1,TC1    ,CAR,CARIBBEAN,AN,ANT,NETHERLANDS ANTILLES,CUR,CURACAO,CUR,Hato International Airport    
1,TC1    ,CAR,CARIBBEAN,AN,ANT,NETHERLANDS ANTILLES,EUX,ST EUSTATIUS,EUX,ST EUSTATIUS                  
1,TC1    ,CAR,CARIBBEAN,AN,ANT,NETHERLANDS ANTILLES,SAB,SABA ISLAND,SAB,SABA                          
1,TC1    ,CAR,CARIBBEAN,AN,ANT,NETHERLANDS ANTILLES,SXM,ST MAARTEN,SXM,Princess Juliana International
1,TC1    ,CAR,CARIBBEAN,AW,ABW,ARUBA,AUA,ARUBA,AUA,ARUBA                         
1,TC1    ,CAR,CARIBBEAN,BB,BRB,BARBADOS,BGI,BARBADOS,BGI,GRANTLEY ADAMS INTERNATIONL   
1,TC1    ,CAR,CARIBBEAN,BM,BMU,BERMUDA,BDA,BERMUDA,NWU,NAS                           
1,TC1    ,CAR,CARIBBEAN,BM,BMU,BERMUDA,BDA,BERMUDA,BDA,BERMUDA                       
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,ASD,ANDROS TOWN,ASD,ANDROS TOWN                   
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,ATC,ARTHURS TOWN,ATC,ARTHURS TOWN                  
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,BIM,BIMINI,BIM,BIMINI                        
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,BIM,BIMINI,NSB,NORTH SEAPLANE                
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,CAT,CAT ISLAND,CAT,CAT ISLAND                    
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,CCZ,CHUB CAY,CCZ,CHUB CAY                      
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,CEL,CAPE ELEUTHERA,CEL,CAPE ELEUTHERA                
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,COX,CONGO TOWN,COX,CONGO TOWN                    
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,CRI,CROOKED ISLAND,CRI,CROOKED ISLAND                
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,CXY,CAT CAYS,CXY,CAT CAYS                      
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,DCT,DUNCAN TOWN,DCT,DUNCAN TOWN                   
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,ELH,NORTH ELEUTHERA,ELH,NORTH ELEUTHERA               
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,FPO,FREEPORT,FPO,FREEPORT                      
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,GBI,GRAND BAHAMA,GBI,GRAND BAHAMA                  
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,GGT,GEORGE TOWN,GGT,GEORGE TOWN                   
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,GHB,GOVERNORS HARBOUR,GHB,GOVERNORS HARBOUR             
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,GHC,GREAT HARBOUR CAY,GHC,GREAT HARBOUR CAY             
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,GTC,GREEN TRUTLE,GTC,GREEN TRUTLE                  
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,HBI,HARBOUR ISLAND,HBI,HARBOUR ISLAND                
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,IGA,INAGUA,IGA,INAGUA                        
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,LGI,DEADMANS CAY,LGI,DEADMANS CAY                  
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,MAY,MANGROVE CAY,MAY,MANGROVE CAY                  
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,MHH,MARSH HARBOUR,MHH,MARSH HARBOUR                 
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,MYG,MAYAGUANA,MYG,MAYAGUANA                     
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,NAS,NASSAU,WZY,SEA PLANE BASE                
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,NAS,NASSAU,PID,PARADISE ISLAND               
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,NAS,NASSAU,NAS,NASSAU                        
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,NMC,NORMAN'S CAY,NMC,NORMAN'S CAY                  
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,PWN,PITTS TOWN,PWN,PITTS TOWN                    
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,RCY,RUM CAY,RCY,RUM CAY                       
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,RSD,ROCK SOUND,RSD,ROCK SOUND                    
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,SAQ,SAN ANDROS,SAQ,SAN ANDROS                    
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,SML,STELLA MARIS,SML,STELLA MARIS                  
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,TBI,THE BIGHT,TBI,THE BIGHT                     
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,TCB,TREASURE CAY,TCB,TREASURE CAY                  
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,TYM,STANIEL CAY,TYM,STANIEL CAY                   
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,TZN,SOUTH ANDROS,TZN,SOUTH ANDROS                  
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,WKR,WALKERS CAY,WKR,WALKERS CAY                   
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,WTD,WEST END,WTD,WEST END                      
1,TC1    ,CAR,CARIBBEAN,BS,BHS,BAHAMAS,ZSA,SAN SALVADOR,ZSA,SAN SALVADOR                  
1,TC1    ,CAR,CARIBBEAN,BZ,BLZ,BELIZE,BCV,BELMOPAN,BCV,BELMOPAN                      
1,TC1    ,CAR,CARIBBEAN,BZ,BLZ,BELIZE,BGK,BIG CREEK,BGK,BIG CREEK                     
1,TC1    ,CAR,CARIBBEAN,BZ,BLZ,BELIZE,BZE,BELIZE CITY,TZA,MUNICIPAL                     
1,TC1    ,CAR,CARIBBEAN,BZ,BLZ,BELIZE,BZE,BELIZE CITY,BZE,BZE                           
1,TC1    ,CAR,CARIBBEAN,BZ,BLZ,BELIZE,CUK,CAYE CAULKER,CUK,CAYE CAULKER                  
1,TC1    ,CAR,CARIBBEAN,BZ,BLZ,BELIZE,CYC,CAYE CHAPEL,CYC,CAYE CHAPEL                   
1,TC1    ,CAR,CARIBBEAN,BZ,BLZ,BELIZE,CYE,CRYSTAL LAKE,CYE,CRYSTAL LAKE                  
1,TC1    ,CAR,CARIBBEAN,BZ,BLZ,BELIZE,CZH,COROZAL,CZH,COROZAL                       
1,TC1    ,CAR,CARIBBEAN,BZ,BLZ,BELIZE,DGA,DANGRIGA,DGA,DANGRIGA                      
1,TC1    ,CAR,CARIBBEAN,BZ,BLZ,BELIZE,INB,INDEPENDENCE,INB,INDEPENDENCE                  
1,TC1    ,CAR,CARIBBEAN,BZ,BLZ,BELIZE,MDB,MELINDA,MDB,MELINDA                       
1,TC1    ,CAR,CARIBBEAN,BZ,BLZ,BELIZE,ORZ,ORANGE WALK,ORZ,ORANGE WALK                   
1,TC1    ,CAR,CARIBBEAN,BZ,BLZ,BELIZE,PLJ,PLACENCIA,PLJ,PLACENCIA                     
1,TC1    ,CAR,CARIBBEAN,BZ,BLZ,BELIZE,PND,PUNTA GORDA,PND,PUNTA GORDA                   
1,TC1    ,CAR,CARIBBEAN,BZ,BLZ,BELIZE,SJX,SARTANEJA,SJX,SARTANEJA                     
1,TC1    ,CAR,CARIBBEAN,BZ,BLZ,BELIZE,SPR,SAN PEDRO,SPR,SAN PEDRO                     
1,TC1    ,CAR,CARIBBEAN,BZ,BLZ,BELIZE,SQS,SAN IGNACIO,SQS,SAN IGNACIO                   
1,TC1    ,CAR,CARIBBEAN,CU,CUB,CUBA,AVI,CIEGO DEAVILA,AVI,CIEGO DEAVILA                 
1,TC1    ,CAR,CARIBBEAN,CU,CUB,CUBA,BCA,BARACOA,BCA,BARACOA                       
1,TC1    ,CAR,CARIBBEAN,CU,CUB,CUBA,BYM,BAYAMO,BYM,BAYAMO                        
1,TC1    ,CAR,CARIBBEAN,CU,CUB,CUBA,CCC,TEST,CCC,CAYO COCO                     
1,TC1    ,CAR,CARIBBEAN,CU,CUB,CUBA,CFG,CIENFUEGOS,CFG,CIENFUEGOS                    
1,TC1    ,CAR,CARIBBEAN,CU,CUB,CUBA,CMW,CAMAGUEY,CMW,CAMAGUEY                      
1,TC1    ,CAR,CARIBBEAN,CU,CUB,CUBA,CYO,CAYO LARGO DEL SUR,CYO,CAYO LARGO                    
1,TC1    ,CAR,CARIBBEAN,CU,CUB,CUBA,GAO,GUANTANAMO,GAO,GUANTANAMO                    
1,TC1    ,CAR,CARIBBEAN,CU,CUB,CUBA,GER,NUEVA GERONA,GER,NUEVA GERONA                  
1,TC1    ,CAR,CARIBBEAN,CU,CUB,CUBA,HAV,HAVANA,HAV,HAVANA                        
1,TC1    ,CAR,CARIBBEAN,CU,CUB,CUBA,HOG,HOLGUIN,HOG,FRANK PAIS INTL               
1,TC1    ,CAR,CARIBBEAN,CU,CUB,CUBA,ICR,NICARO,ICR,NICARO                        
1,TC1    ,CAR,CARIBBEAN,CU,CUB,CUBA,LCL,LA COLOMA,LCL,LA COLOMA                     
1,TC1    ,CAR,CARIBBEAN,CU,CUB,CUBA,MOA,MOA,MOA,MOA                           
1,TC1    ,CAR,CARIBBEAN,CU,CUB,CUBA,MZO,MANZANILLO,MZO,MANZANILLO                    
1,TC1    ,CAR,CARIBBEAN,CU,CUB,CUBA,SCU,SANTIAGO INTL,SCU,SANTIAGO INTL                 
1,TC1    ,CAR,CARIBBEAN,CU,CUB,CUBA,SNJ,SAN JULIAN,SNJ,SAN JULIAN                    
1,TC1    ,CAR,CARIBBEAN,CU,CUB,CUBA,SNU,SANTA CLARA,SNU,SANTA CLARA                   
1,TC1    ,CAR,CARIBBEAN,CU,CUB,CUBA,SZJ,SIGUANEA AIRPORT,SZJ,SIGUANEA AIRPORT              
1,TC1    ,CAR,CARIBBEAN,CU,CUB,CUBA,TND,TRINIDAD,TND,TRINIDAD                      
1,TC1    ,CAR,CARIBBEAN,CU,CUB,CUBA,VRA,VARAERO,VRA,VARADERO                      
1,TC1    ,CAR,CARIBBEAN,CU,CUB,CUBA,VTU,LAS TUNAS,VTU,LAS TUNAS                     
1,TC1    ,CAR,CARIBBEAN,DM,DMA,DOMINICA,DOM,DOMINICA,DOM,DOMINICA                      
1,TC1    ,CAR,CARIBBEAN,DM,DMA,DOMINICA,DOM,DOMINICA,DCF,CANE FIELD                    
1,TC1    ,CAR,CARIBBEAN,DO,DOM,DOMINICAN REPUBLIC,BRX,BARAHONA,BRX,BARAHONA                      
1,TC1    ,CAR,CARIBBEAN,DO,DOM,DOMINICAN REPUBLIC,CBJ,CABO ROJO,CBJ,CABO ROJO                     
1,TC1    ,CAR,CARIBBEAN,DO,DOM,DOMINICAN REPUBLIC,COZ,CONSTANZA,COZ,CONSTANZA                     
1,TC1    ,CAR,CARIBBEAN,DO,DOM,DOMINICAN REPUBLIC,EPS,EL PORTILLO,EPS,EL PORTILLO                   
1,TC1    ,CAR,CARIBBEAN,DO,DOM,DOMINICAN REPUBLIC,HEX,HERERA,HEX,HERERA                        
1,TC1    ,CAR,CARIBBEAN,DO,DOM,DOMINICAN REPUBLIC,LRM,LA ROMANA,LRM,LA ROMANA                     
1,TC1    ,CAR,CARIBBEAN,DO,DOM,DOMINICAN REPUBLIC,POP,PUERTO PLATA,POP,PUERTO PLATA                  
1,TC1    ,CAR,CARIBBEAN,DO,DOM,DOMINICAN REPUBLIC,PUJ,PUNTA CANA,PUJ,PUJ                           
1,TC1    ,CAR,CARIBBEAN,DO,DOM,DOMINICAN REPUBLIC,SDQ,SANTO DOMINGO,SDQ,SANTO DOMINGO                 
1,TC1    ,CAR,CARIBBEAN,DO,DOM,DOMINICAN REPUBLIC,SJM,SAN JUAN,SJM,SAN JUAN                      
1,TC1    ,CAR,CARIBBEAN,DO,DOM,DOMINICAN REPUBLIC,SNX,SABANA D L MAR,SNX,SABANA D L MAR                
1,TC1    ,CAR,CARIBBEAN,DO,DOM,DOMINICAN REPUBLIC,STI,SANTIAGO,STI,STI                           
1,TC1    ,CAR,CARIBBEAN,GD,GRD,GRENADA,GND,GRENADA,GND,GRENADA                       
1,TC1    ,CAR,CARIBBEAN,HT,HTI,HAITI,CAP,CAP HAITIEN,CAP,CAP HAITIEN                   
1,TC1    ,CAR,CARIBBEAN,HT,HTI,HAITI,CYA,LES CAYES,CYA,LES CAYES                     
1,TC1    ,CAR,CARIBBEAN,HT,HTI,HAITI,JEE,JEREMIE,JEE,JEREMIE                       
1,TC1    ,CAR,CARIBBEAN,HT,HTI,HAITI,PAP,PORT AU PRINCE,PAP,Toussaint Louverture Internati
1,TC1    ,CAR,CARIBBEAN,HT,HTI,HAITI,PAX,PORT D PAIX,PAX,PORT D PAIX                   
1,TC1    ,CAR,CARIBBEAN,JM,JAM,JAMAICA,KIN,KINGSTON,KTP,KTP                           
1,TC1    ,CAR,CARIBBEAN,JM,JAM,JAMAICA,KIN,KINGSTON,KIN,KIN                           
1,TC1    ,CAR,CARIBBEAN,JM,JAM,JAMAICA,MBJ,MONTEGO BAY,MBJ,MONTEGO BAY                   
1,TC1    ,CAR,CARIBBEAN,JM,JAM,JAMAICA,MVJ,MANDEVILLE,MVJ,MANDEVILLE                    
1,TC1    ,CAR,CARIBBEAN,JM,JAM,JAMAICA,NEG,NEGRIL,NEG,NEGRIL                        
1,TC1    ,CAR,CARIBBEAN,JM,JAM,JAMAICA,OCJ,OCHO RIOS,OCJ,OCHO RIOS                     
1,TC1    ,CAR,CARIBBEAN,JM,JAM,JAMAICA,POT,PORT ANTONIO,POT,POT                           
1,TC1    ,CAR,CARIBBEAN,KN,KNA,SAINT KITTS AND NEVIS,NEV,NEVIS,NEV,NEVIS                         
1,TC1    ,CAR,CARIBBEAN,KN,KNA,SAINT KITTS AND NEVIS,SKB,ST KITTS,SKB,SKB                           
1,TC1    ,CAR,CARIBBEAN,KY,CYM,CAYMAN ISLANDS,CYB,CAYMAN BRAC,CYB,CAYMAN BRAC                   
1,TC1    ,CAR,CARIBBEAN,KY,CYM,CAYMAN ISLANDS,GCM,GRAND CAYMAN IS,GCM,GCM                           
1,TC1    ,CAR,CARIBBEAN,KY,CYM,CAYMAN ISLANDS,LYB,LITTLE CAYMAN,LYB,LITTLE CAYMAN                 
1,TC1    ,CAR,CARIBBEAN,LC,LCA,SAINT LUCIA,SLU,ST LUCIA,UVF,HEWANORRA APT                 
1,TC1    ,CAR,CARIBBEAN,LC,LCA,SAINT LUCIA,SLU,ST LUCIA,SLU,ST LUCIA                      
1,TC1    ,CAR,CARIBBEAN,MQ,MTQ,MARTINIQUE,FDF,FORT DE FRANCE,FDF,FORT DE FRANCE                
1,TC1    ,CAR,CARIBBEAN,MS,MSR,MONTSERRAT,MNI,MONTSERRAT,MNI,MONTSERRAT                    
1,TC1    ,CAR,CARIBBEAN,PR,PRI,PUERTO RICO,ARE,ARECIBO,ARE,ARECIBO                       
1,TC1    ,CAR,CARIBBEAN,PR,PRI,PUERTO RICO,BQN,AGUADILLA,BQN,PUERTO RICO PORTS AUTHORITY   
1,TC1    ,CAR,CARIBBEAN,PR,PRI,PUERTO RICO,CPX,CULEBRA,CPX,CULEBRA                       
1,TC1    ,CAR,CARIBBEAN,PR,PRI,PUERTO RICO,DDP,DORADO,DDP,DORADO                        
1,TC1    ,CAR,CARIBBEAN,PR,PRI,PUERTO RICO,FAJ,FAJARDO,FAJ,FAJARDO                       
1,TC1    ,CAR,CARIBBEAN,PR,PRI,PUERTO RICO,HUC,HUMACAO,PPD,PALMAS DEL MAR                
1,TC1    ,CAR,CARIBBEAN,PR,PRI,PUERTO RICO,HUC,HUMACAO,HUC,HUMACAO                       
1,TC1    ,CAR,CARIBBEAN,PR,PRI,PUERTO RICO,MAZ,MAYAGUEZ,MAZ,MAYAGUEZ                      
