Flt_Id,Taxi_Out,Taxi_In,Block_Tm,Flt_Tm,Dep_Tm,Arr_Tm,Flt_Tm_Plan,Fuel_Cost_Index
S_Mon_BR4004_KHHYNZ,11,22,146,113,12:00~17:59,18:00~23:59,115,5
S_Mon_BR4009_YNZTPE,22,4,90,64,12:00~17:59,12:00~17:59,68,10
S_Mon_BR4010_TPEYNZ,15,16,110,79,06:00~11:59,06:00~11:59,83,11
S_Mon_BR4019_YNZTPE,22,6,101,73,18:00~23:59,18:00~23:59,80,11
S_Mon_BR4020_TPEYNZ,15,18,117,84,12:00~17:59,18:00~23:59,82,11
S_Mon_BR6751_TPEPNH,17,9,208,182,18:00~23:59,18:00~23:59,173,16
S_Mon_BR6752_PNHTPE,12,5,196,179,00:00~05:59,00:00~05:59,187,16
S_Sat_BR3303_SJCTPE,17,4,791,770,12:00~17:59,12:00~17:59,782,81
S_Sat_BR3304_TPESJC,20,12,754,722,06:00~11:59,06:00~11:59,730,74
S_Sat_BR3309_SJCTPE,29,7,805,769,00:00~05:59,00:00~05:59,779,82
S_Sat_BR3310_TPESJC,19,14,757,724,18:00~23:59,12:00~17:59,732,73
S_Sat_BR3313_SJCTPE,22,8,799,769,00:00~05:59,00:00~05:59,778,82
S_Sat_BR3314_TPESJC,29,26,777,722,18:00~23:59,18:00~23:59,727,73
S_Sat_BR3327_IAHTPE,25,5,949,919,12:00~17:59,12:00~17:59,911,96
S_Sat_BR3328_TPEIAH,21,12,867,834,06:00~11:59,06:00~11:59,847,89
S_Sat_BR3329_IAHTPE,21,6,930,903,00:00~05:59,00:00~05:59,905,96
S_Sat_BR3330_TPEIAH,32,22,917,863,18:00~23:59,18:00~23:59,872,92
S_Sat_BR3385_TPEMXP,28,12,812,772,18:00~23:59,06:00~11:59,771,82
S_Sat_BR3386_MXPTPE,23,6,789,760,06:00~11:59,06:00~11:59,769,80
S_Sat_BR3427_NGOTPE,17,12,160,131,18:00~23:59,18:00~23:59,129,5
S_Sat_BR3428_TPENGO,18,11,179,150,12:00~17:59,12:00~17:59,152,6
S_Sat_BR3429_NGOTPE,18,8,154,128,12:00~17:59,12:00~17:59,132,12
S_Sat_BR3430_TPENGO,20,10,167,137,06:00~11:59,12:00~17:59,141,13
S_Sat_BR3475_NGOTPE,21,12,172,139,06:00~11:59,12:00~17:59,139,5
S_Sat_BR3476_TPENGO,10,13,164,141,06:00~11:59,06:00~11:59,135,6
S_Sat_BR3477_NGOTPE,17,24,180,139,18:00~23:59,18:00~23:59,140,5
S_Sat_BR3478_TPENGO,21,11,181,149,12:00~17:59,18:00~23:59,148,5
S_Sat_BR3479_NGOKHH,12,7,177,158,12:00~17:59,12:00~17:59,161,6
S_Sat_BR3480_KHHNGO,12,19,197,166,06:00~11:59,06:00~11:59,169,6
S_Sat_BR3553_TPELOP,13,5,306,288,06:00~11:59,12:00~17:59,286,21
S_Sat_BR3554_LOPTPE,15,8,343,320,12:00~17:59,18:00~23:59,314,21
S_Sat_BR3689_TPEPNH,16,6,204,182,06:00~11:59,06:00~11:59,183,17
S_Sat_BR3690_PNHTPE,15,11,198,172,12:00~17:59,12:00~17:59,176,17
S_Sat_BR3693_TPEPNH,23,9,208,176,06:00~11:59,06:00~11:59,175,17
S_Sat_BR3694_PNHTPE,18,14,206,174,12:00~17:59,18:00~23:59,186,19
S_Sat_BR4009_YNZTPE,30,8,108,70,12:00~17:59,12:00~17:59,79,11
S_Sat_BR4010_TPEYNZ,16,14,105,75,06:00~11:59,06:00~11:59,77,11
S_Sat_BR4019_YNZTPE,27,6,118,85,18:00~23:59,18:00~23:59,78,10
S_Sat_BR4020_TPEYNZ,20,11,115,84,12:00~17:59,18:00~23:59,87,11
S_Sat_BR6751_TPEPNH,16,9,198,173,18:00~23:59,18:00~23:59,181,16
S_Sat_BR6752_PNHTPE,21,13,211,177,00:00~05:59,06:00~11:59,185,17
S_Sun_BR3303_SJCTPE,20,6,807,781,12:00~17:59,12:00~17:59,787,83
S_Sun_BR3304_TPESJC,29,25,766,712,06:00~11:59,06:00~11:59,712,73
S_Sun_BR3309_SJCTPE,27,6,792,759,00:00~05:59,06:00~11:59,770,82
S_Sun_BR3310_TPESJC,20,18,758,720,18:00~23:59,12:00~17:59,724,73
S_Sun_BR3313_SJCTPE,26,6,785,753,00:00~05:59,00:00~05:59,767,84
S_Sun_BR3314_TPESJC,16,5,724,703,18:00~23:59,18:00~23:59,705,70
S_Sun_BR3329_IAHTPE,18,5,913,890,00:00~05:59,00:00~05:59,892,94
S_Sun_BR3330_TPEIAH,28,39,943,876,18:00~23:59,18:00~23:59,888,91
S_Sun_BR3385_TPEMXP,23,8,825,794,18:00~23:59,06:00~11:59,788,82
S_Sun_BR3386_MXPTPE,22,5,782,755,06:00~11:59,06:00~11:59,767,83
S_Sun_BR3427_NGOTPE,12,10,164,142,18:00~23:59,18:00~23:59,144,6
S_Sun_BR3428_TPENGO,14,12,160,134,12:00~17:59,12:00~17:59,130,5
S_Sun_BR3429_NGOTPE,16,9,150,125,12:00~17:59,12:00~17:59,132,12
S_Sun_BR3430_TPENGO,26,13,170,131,06:00~11:59,12:00~17:59,132,13
S_Sun_BR3475_NGOTPE,23,13,164,128,06:00~11:59,12:00~17:59,133,5
S_Sun_BR3476_TPENGO,18,14,165,133,06:00~11:59,06:00~11:59,139,6
S_Sun_BR3477_NGOTPE,12,20,161,129,18:00~23:59,18:00~23:59,136,6
S_Sun_BR3478_TPENGO,14,12,165,139,12:00~17:59,18:00~23:59,143,5
S_Sun_BR3479_NGOKHH,13,7,183,163,12:00~17:59,12:00~17:59,153,6
S_Sun_BR3480_KHHNGO,17,15,188,156,06:00~11:59,06:00~11:59,157,6
S_Sun_BR3553_TPELOP,27,5,324,292,06:00~11:59,12:00~17:59,287,20
S_Sun_BR3554_LOPTPE,25,8,347,314,12:00~17:59,18:00~23:59,311,21
S_Sun_BR3679_TPEPNH,24,6,212,182,18:00~23:59,18:00~23:59,174,17
S_Sun_BR3680_PNHTPE,11,7,205,187,00:00~05:59,06:00~11:59,187,16
S_Sun_BR3689_TPEPNH,18,7,188,163,06:00~11:59,06:00~11:59,174,17
S_Sun_BR3690_PNHTPE,13,6,210,191,12:00~17:59,12:00~17:59,199,19
S_Sun_BR3693_TPEPNH,17,10,203,176,06:00~11:59,06:00~11:59,177,17
S_Sun_BR3694_PNHTPE,24,6,215,185,12:00~17:59,18:00~23:59,175,17
S_Sun_BR4003_YNZKHH,19,9,130,102,18:00~23:59,18:00~23:59,106,4
S_Sun_BR4004_KHHYNZ,14,16,149,119,12:00~17:59,18:00~23:59,116,5
S_Sun_BR4009_YNZTPE,35,6,126,85,12:00~17:59,12:00~17:59,83,11
S_Sun_BR4010_TPEYNZ,23,24,139,92,06:00~11:59,06:00~11:59,90,11
S_Sun_BR4019_YNZTPE,34,8,113,71,18:00~23:59,18:00~23:59,78,11
S_Sun_BR4020_TPEYNZ,17,17,119,85,12:00~17:59,18:00~23:59,91,11
S_Sun_BR7223_YNZTSA,16,6,101,79,06:00~11:59,12:00~17:59,78,4
S_Sun_BR7224_TSAYNZ,10,21,116,85,06:00~11:59,06:00~11:59,85,4
S_Thu_BR3303_SJCTPE,25,9,817,783,12:00~17:59,12:00~17:59,785,81
S_Thu_BR3304_TPESJC,16,10,741,715,06:00~11:59,06:00~11:59,714,72
S_Thu_BR3309_SJCTPE,19,6,777,752,00:00~05:59,00:00~05:59,762,79
S_Thu_BR3310_TPESJC,13,8,740,719,18:00~23:59,12:00~17:59,717,76
S_Thu_BR3313_SJCTPE,18,6,786,762,00:00~05:59,00:00~05:59,772,79
S_Thu_BR3314_TPESJC,13,10,739,716,18:00~23:59,18:00~23:59,722,74
S_Thu_BR3327_IAHTPE,44,12,983,927,12:00~17:59,12:00~17:59,905,88
S_Thu_BR3328_TPEIAH,18,10,891,863,06:00~11:59,06:00~11:59,865,90
S_Thu_BR3329_IAHTPE,96,6,1030,928,00:00~05:59,06:00~11:59,924,95
S_Thu_BR3330_TPEIAH,26,10,885,849,18:00~23:59,18:00~23:59,860,91
S_Thu_BR3385_TPEMXP,27,10,848,811,18:00~23:59,06:00~11:59,795,95
S_Thu_BR3386_MXPTPE,23,11,777,743,06:00~11:59,06:00~11:59,755,81
S_Thu_BR3427_NGOTPE,13,7,152,132,18:00~23:59,18:00~23:59,138,5
S_Thu_BR3428_TPENGO,16,13,180,151,12:00~17:59,12:00~17:59,151,6
S_Thu_BR3429_NGOTPE,11,12,152,129,12:00~17:59,12:00~17:59,133,13
S_Thu_BR3430_TPENGO,15,13,162,134,06:00~11:59,12:00~17:59,140,13
S_Thu_BR3475_NGOTPE,29,6,178,143,06:00~11:59,12:00~17:59,143,5
S_Thu_BR3476_TPENGO,12,13,158,133,06:00~11:59,06:00~11:59,137,6
S_Thu_BR3477_NGOTPE,20,10,165,135,18:00~23:59,18:00~23:59,138,5
S_Thu_BR3478_TPENGO,11,11,170,148,12:00~17:59,18:00~23:59,144,5
S_Thu_BR3479_NGOKHH,13,7,170,150,12:00~17:59,12:00~17:59,151,6
S_Thu_BR3480_KHHNGO,11,12,188,165,06:00~11:59,06:00~11:59,166,6
S_Thu_BR3553_TPELOP,14,5,311,292,06:00~11:59,12:00~17:59,288,21
S_Thu_BR3554_LOPTPE,15,10,330,305,12:00~17:59,18:00~23:59,311,20
S_Thu_BR3689_TPEPNH,17,11,198,170,06:00~11:59,06:00~11:59,180,17
S_Thu_BR3690_PNHTPE,10,5,196,181,12:00~17:59,12:00~17:59,177,17
S_Thu_BR3693_TPEPNH,17,6,202,179,06:00~11:59,06:00~11:59,178,16
S_Thu_BR3694_PNHTPE,13,10,194,171,12:00~17:59,18:00~23:59,179,17
S_Thu_BR4003_YNZKHH,57,8,164,99,18:00~23:59,18:00~23:59,101,4
S_Thu_BR4004_KHHYNZ,14,23,135,98,12:00~17:59,18:00~23:59,105,5
S_Thu_BR4009_YNZTPE,30,7,114,77,12:00~17:59,12:00~17:59,79,11
S_Thu_BR4010_TPEYNZ,12,21,118,85,06:00~11:59,06:00~11:59,84,12
S_Thu_BR4019_YNZTPE,56,7,137,74,18:00~23:59,18:00~23:59,72,10
S_Thu_BR4020_TPEYNZ,19,22,117,76,12:00~17:59,18:00~23:59,76,12
S_Thu_BR6751_TPEPNH,16,8,212,188,18:00~23:59,18:00~23:59,185,16
S_Thu_BR6752_PNHTPE,20,6,207,181,00:00~05:59,06:00~11:59,185,16
S_Thu_BR7223_YNZTSA,15,7,108,86,06:00~11:59,12:00~17:59,78,4
S_Thu_BR7224_TSAYNZ,13,20,119,86,06:00~11:59,06:00~11:59,84,4
S_Tue_BR3303_SJCTPE,31,9,799,759,12:00~17:59,12:00~17:59,767,80
S_Tue_BR3304_TPESJC,48,14,798,736,06:00~11:59,06:00~11:59,732,71
S_Tue_BR3309_SJCTPE,14,7,767,746,00:00~05:59,00:00~05:59,763,77
S_Tue_BR3310_TPESJC,11,12,758,735,18:00~23:59,12:00~17:59,737,71
S_Tue_BR3313_SJCTPE,15,5,767,747,00:00~05:59,00:00~05:59,757,78
S_Tue_BR3314_TPESJC,22,5,754,727,18:00~23:59,18:00~23:59,726,73
S_Tue_BR3327_IAHTPE,25,11,927,891,12:00~17:59,12:00~17:59,886,91
S_Tue_BR3328_TPEIAH,22,13,917,882,06:00~11:59,06:00~11:59,886,93
S_Tue_BR3329_IAHTPE,63,5,971,903,00:00~05:59,00:00~05:59,899,88
S_Tue_BR3330_TPEIAH,43,68,1005,894,18:00~23:59,18:00~23:59,902,92
S_Tue_BR3385_TPEMXP,15,19,827,793,18:00~23:59,06:00~11:59,786,83
S_Tue_BR3386_MXPTPE,19,9,771,743,06:00~11:59,06:00~11:59,750,82
S_Tue_BR3427_NGOTPE,11,9,152,132,18:00~23:59,18:00~23:59,135,5
S_Tue_BR3428_TPENGO,11,14,185,160,12:00~17:59,12:00~17:59,147,5
S_Tue_BR3429_NGOTPE,16,10,150,124,12:00~17:59,12:00~17:59,127,12
S_Tue_BR3430_TPENGO,24,11,179,144,06:00~11:59,12:00~17:59,142,14
S_Tue_BR3475_NGOTPE,21,8,168,139,06:00~11:59,12:00~17:59,139,5
S_Tue_BR3476_TPENGO,15,14,184,155,06:00~11:59,06:00~11:59,153,6
S_Tue_BR3477_NGOTPE,11,8,152,133,18:00~23:59,18:00~23:59,135,5
S_Tue_BR3478_TPENGO,13,12,175,150,12:00~17:59,18:00~23:59,147,5
S_Tue_BR3479_NGOKHH,13,8,172,151,12:00~17:59,12:00~17:59,154,6
S_Tue_BR3480_KHHNGO,12,14,191,165,06:00~11:59,06:00~11:59,159,6
S_Tue_BR3553_TPELOP,46,5,337,286,06:00~11:59,12:00~17:59,289,21
S_Tue_BR3554_LOPTPE,16,9,323,298,12:00~17:59,18:00~23:59,305,20
S_Tue_BR3689_TPEPNH,18,12,188,158,06:00~11:59,06:00~11:59,169,17
S_Tue_BR3690_PNHTPE,19,5,194,170,12:00~17:59,12:00~17:59,179,17
S_Tue_BR3693_TPEPNH,17,12,206,177,06:00~11:59,06:00~11:59,180,17
S_Tue_BR3694_PNHTPE,11,6,192,175,12:00~17:59,18:00~23:59,185,17
S_Tue_BR4003_YNZKHH,21,7,125,97,18:00~23:59,18:00~23:59,101,4
S_Tue_BR4004_KHHYNZ,11,19,141,111,12:00~17:59,18:00~23:59,114,5
S_Tue_BR4009_YNZTPE,16,5,94,73,12:00~17:59,12:00~17:59,75,8
S_Tue_BR4010_TPEYNZ,40,20,145,85,06:00~11:59,12:00~17:59,82,8
S_Tue_BR4019_YNZTPE,19,9,104,76,18:00~23:59,18:00~23:59,76,8
S_Tue_BR4020_TPEYNZ,19,15,116,82,12:00~17:59,18:00~23:59,87,9
S_Tue_BR6752_PNHTPE,13,7,197,177,00:00~05:59,00:00~05:59,181,16
S_Tue_BR7223_YNZTSA,14,7,100,79,06:00~11:59,12:00~17:59,81,4
S_Tue_BR7224_TSAYNZ,11,23,123,89,06:00~11:59,06:00~11:59,85,4
S_Wed_BR3303_SJCTPE,18,7,790,765,12:00~17:59,12:00~17:59,767,79
S_Wed_BR3304_TPESJC,21,12,765,732,06:00~11:59,06:00~11:59,736,74
S_Wed_BR3309_SJCTPE,23,7,787,757,00:00~05:59,00:00~05:59,772,77
S_Wed_BR3310_TPESJC,20,14,767,733,18:00~23:59,12:00~17:59,735,74
S_Wed_BR3313_SJCTPE,16,6,788,766,00:00~05:59,06:00~11:59,776,76
S_Wed_BR3314_TPESJC,27,16,768,725,18:00~23:59,18:00~23:59,721,75
S_Wed_BR3329_IAHTPE,20,6,920,894,00:00~05:59,00:00~05:59,905,92
S_Wed_BR3330_TPEIAH,22,14,898,862,18:00~23:59,18:00~23:59,852,89
S_Wed_BR3385_TPEMXP,20,9,832,803,18:00~23:59,06:00~11:59,802,82
S_Wed_BR3386_MXPTPE,34,6,801,761,06:00~11:59,06:00~11:59,764,82
S_Wed_BR3427_NGOTPE,11,13,163,139,18:00~23:59,18:00~23:59,136,5
S_Wed_BR3428_TPENGO,19,11,187,157,12:00~17:59,12:00~17:59,152,6
S_Wed_BR3429_NGOTPE,17,15,163,131,12:00~17:59,12:00~17:59,135,12
S_Wed_BR3430_TPENGO,18,9,168,141,06:00~11:59,06:00~11:59,138,13
S_Wed_BR3475_NGOTPE,15,9,159,135,06:00~11:59,12:00~17:59,131,5
S_Wed_BR3476_TPENGO,19,11,174,144,06:00~11:59,06:00~11:59,149,6
S_Wed_BR3477_NGOTPE,16,14,173,143,18:00~23:59,18:00~23:59,146,5
S_Wed_BR3478_TPENGO,18,11,178,149,12:00~17:59,18:00~23:59,146,5
S_Wed_BR3479_NGOKHH,11,9,177,157,12:00~17:59,12:00~17:59,156,6
S_Wed_BR3480_KHHNGO,11,17,188,160,06:00~11:59,06:00~11:59,166,6
S_Wed_BR3553_TPELOP,13,9,301,279,06:00~11:59,12:00~17:59,290,21
S_Wed_BR3554_LOPTPE,14,10,324,300,12:00~17:59,18:00~23:59,301,20
S_Wed_BR3679_TPEPNH,18,12,202,172,18:00~23:59,18:00~23:59,184,16
S_Wed_BR3680_PNHTPE,13,7,186,166,00:00~05:59,06:00~11:59,171,16
S_Wed_BR3689_TPEPNH,15,8,201,178,06:00~11:59,06:00~11:59,186,17
S_Wed_BR3690_PNHTPE,9,6,199,184,12:00~17:59,12:00~17:59,190,17
S_Wed_BR3693_TPEPNH,13,8,186,165,06:00~11:59,06:00~11:59,168,17
S_Wed_BR3694_PNHTPE,15,6,202,181,12:00~17:59,18:00~23:59,182,17
S_Wed_BR4009_YNZTPE,28,8,108,72,12:00~17:59,12:00~17:59,69,8
S_Wed_BR4010_TPEYNZ,17,20,120,83,06:00~11:59,06:00~11:59,81,9
S_Wed_BR4019_YNZTPE,19,22,105,64,18:00~23:59,18:00~23:59,73,8
S_Wed_BR4020_TPEYNZ,15,16,137,106,12:00~17:59,18:00~23:59,94,9
