Pax_key,Bag_Cnt,Bag_Wt_Msr,Unit_Qual_Cd,Wt_Knw_Ind,Pool_Ind
S_Fri_BR_3303_2002598E0001FF81,2,43,K,WK,NP 
S_Fri_BR_3303_2002599B00045A64,2,15,K,WK,NP 
S_Fri_BR_3303_200259A1000382D9,6,97,K,WK,YP 
S_Fri_BR_3303_20026938000B9B0F,1,15,K,WK,NP 
S_Fri_BR_3303_2002694F000426E8,1,13,K,WK,NP 
S_Fri_BR_3303_200269740002018C,1,20,K,WK,NP 
S_Fri_BR_3303_200269790003490A,0,0,*,*,YP 
S_Fri_BR_3303_20026980000227FB,1,9,K,WK,NP 
S_Fri_BR_3303_20026986000059D4,1,10,K,WK,NP 
S_Fri_BR_3303_200278DE00042A65,0,0,*,*,YP 
S_Fri_BR_3303_200279200002EAA7,2,20,K,WK,NP 
S_Fri_BR_3303_2002797B0007FBB3,2,46,K,WK,YP 
S_Fri_BR_3303_200279870001D8A5,3,52,K,WK,NP 
S_Fri_BR_3303_200279950001AACC,2,45,K,WK,NP 
S_Fri_BR_3303_200289650001E972,0,0,*,*,YP 
S_Fri_BR_3303_200289820004BA2E,0,0,*,*,YP 
S_Fri_BR_3303_2002898500010C0B,2,45,K,WK,NP 
S_Fri_BR_3303_200289A0000190BD,2,40,K,WK,YP 
S_Fri_BR_3303_2002996A0004ACF4,0,0,*,*,YP 
S_Fri_BR_3303_2002998500019221,1,20,K,WK,NP 
S_Fri_BR_3303_200308CA00062B96,2,42,K,WK,YP 
S_Fri_BR_3303_200309230004E523,0,0,*,*,YP 
S_Fri_BR_3303_2003096200081053,0,0,*,*,YP 
S_Fri_BR_3303_2003099B00054B94,0,0,*,*,YP 
S_Fri_BR_3303_20050A1A0000B7BF,0,0,*,*,YP 
S_Fri_BR_3303_20050A4C000266C6,1,17,K,WK,NP 
S_Fri_BR_3303_200519A4000760D7,2,40,K,WK,NP 
S_Fri_BR_3303_20051A3C00040E76,2,27,K,WK,YP 
S_Fri_BR_3303_20051A4F0001827D,0,0,*,*,YP 
S_Fri_BR_3303_20051A5100030BDB,2,30,K,WK,NP 
S_Fri_BR_3303_20052A4A00019C7F,2,42,K,WK,YP 
S_Fri_BR_3303_20052A5300009149,4,80,K,WK,YP 
S_Fri_BR_3303_200539F80000D7C4,2,25,K,WK,NP 
S_Fri_BR_3303_20053A0A000C517B,0,0,*,*,YP 
S_Fri_BR_3303_20053A0F00033340,4,80,K,WK,YP 
S_Fri_BR_3303_20053A390001632A,0,0,*,*,YP 
S_Fri_BR_3303_20053A570003B729,0,0,*,*,YP 
S_Fri_BR_3303_200549EE000111E8,0,0,*,*,YP 
S_Fri_BR_3303_20054A3000039D31,0,0,*,*,YP 
S_Fri_BR_3303_20054A3C0004E5F5,0,0,*,*,YP 
S_Fri_BR_3303_20054A3E00006539,1,18,K,WK,NP 
S_Fri_BR_3303_20054A4900000DE6,0,0,*,*,YP 
S_Fri_BR_3303_20054A4C00008B81,0,0,*,*,YP 
S_Fri_BR_3303_200559CE0007A716,1,12,K,WK,NP 
S_Fri_BR_3303_200559D000015E9A,0,0,*,*,YP 
S_Fri_BR_3303_200559DB000A05B1,3,48,K,WK,YP 
S_Fri_BR_3303_20055A1700087EA3,2,34,K,WK,NP 
S_Fri_BR_3303_20055A19000B5B3C,0,0,*,*,YP 
S_Fri_BR_3303_20055A4900000E2B,3,66,K,WK,YP 
S_Fri_BR_3303_20055A5800071871,4,64,K,WK,YP 
S_Fri_BR_3303_200569E1000828F0,4,56,K,WK,YP 
S_Fri_BR_3303_20056A1400014967,2,25,K,WK,YP 
S_Fri_BR_3303_20056A2B00009C5A,6,115,K,WK,YP 
S_Fri_BR_3303_20056A2E00094AEE,1,17,K,WK,NP 
S_Fri_BR_3303_200589CF00093705,5,80,K,WK,YP 
S_Fri_BR_3303_200589F50008A52E,2,40,K,WK,NP 
S_Fri_BR_3303_200589FB00069ED3,1,17,K,WK,NP 
S_Fri_BR_3303_20058A1A000A7D79,1,20,K,WK,NP 
S_Fri_BR_3303_20058A1F000704B7,0,0,*,*,YP 
S_Fri_BR_3303_20058A3C000145FC,2,21,K,WK,NP 
S_Fri_BR_3303_20058A5200011E20,1,19,K,WK,NP 
S_Fri_BR_3303_20058A5A000282F9,4,80,K,WK,YP 
S_Fri_BR_3303_20059A3A0001E1D7,0,0,*,*,YP 
S_Fri_BR_3303_2005A9A5000404E8,4,128,K,WK,NP 
S_Fri_BR_3303_2005A9E300022E7E,3,47,K,WK,YP 
S_Fri_BR_3303_2005A9EE000B9B3E,3,45,K,WK,YP 
S_Fri_BR_3303_2005AA0E000145DA,0,0,*,*,YP 
S_Fri_BR_3303_2005AA1F0001D86A,0,0,*,*,YP 
S_Fri_BR_3303_2005AA2100044DC2,0,0,*,*,YP 
S_Fri_BR_3303_2005AA270001DE3D,0,0,*,*,YP 
S_Fri_BR_3303_2005AA270007CDBF,0,0,*,*,YP 
S_Fri_BR_3303_2005AA2E0000BA4F,0,0,*,*,YP 
S_Fri_BR_3303_2005AA5A00015BC0,6,137,K,WK,YP 
S_Fri_BR_3303_2005B9B70009EEDD,6,120,K,WK,YP 
S_Fri_BR_3303_2005B9D80001FF44,2,46,K,WK,NP 
S_Fri_BR_3303_2005BA240000CC26,2,16,K,WK,NP 
S_Fri_BR_3303_2005BA320000D874,2,44,K,WK,NP 
S_Fri_BR_3303_2005BA32000237F3,0,0,*,*,YP 
S_Fri_BR_3303_2005BA360002BD6B,0,0,*,*,YP 
S_Fri_BR_3303_2005BA3F00020612,2,38,K,WK,YP 
S_Fri_BR_3303_2005BA5100008A70,0,0,*,*,YP 
S_Fri_BR_3303_2005CA2200014506,5,100,K,WK,YP 
S_Fri_BR_3303_2005CA360004038F,2,37,K,WK,NP 
S_Fri_BR_3303_2005CA570007D0AA,0,0,*,*,YP 
S_Fri_BR_3303_2005DA3900020A1B,0,0,*,*,YP 
S_Fri_BR_3303_2005DA5200033A87,2,42,K,WK,NP 
S_Fri_BR_3303_2005E9EA000A276A,3,37,K,WK,YP 
S_Fri_BR_3303_2005EA1F000D10D2,0,0,*,*,YP 
S_Fri_BR_3303_2005EA4D0001E802,0,0,*,*,YP 
S_Fri_BR_3303_200609CD0007E1AB,0,0,*,*,YP 
S_Fri_BR_3303_20060A2D0001C9A0,5,85,K,WK,YP 
S_Fri_BR_3303_20060A37000BCCDB,2,20,K,WK,NP 
S_Fri_BR_3303_20060A52000AE831,0,0,*,*,YP 
S_Fri_BR_3303_200619EF00029392,1,16,K,WK,YP 
S_Fri_BR_3303_20061A0600022F46,1,20,K,WK,NP 
S_Fri_BR_3303_20061A0E0009D879,2,36,K,WK,NP 
S_Fri_BR_3303_20061A4700015A54,0,0,*,*,YP 
S_Fri_BR_3303_20061A5300068BC3,0,0,*,*,YP 
S_Fri_BR_3303_200629B50004D9AB,0,0,*,*,YP 
S_Fri_BR_3303_20062A1B0005C8F1,3,58,K,WK,YP 
S_Fri_BR_3303_20062A3E0000E877,1,20,K,WK,NP 
S_Fri_BR_3303_2022298D00029F62,2,27,K,WK,NP 
S_Fri_BR_3303_2022299B0001A814,1,20,K,WK,NP 
S_Fri_BR_3303_2032098C0007DDCA,1,20,K,WK,NP 
S_Fri_BR_3303_20320990000273B5,8,168,K,WK,YP 
S_Fri_BR_3303_20320995000C4479,2,46,K,WK,NP 
S_Fri_BR_3303_20320996000200D0,0,0,*,*,YP 
S_Fri_BR_3303_2032099E0005B3DA,2,40,K,WK,NP 
S_Fri_BR_3303_2032099E0009468B,3,43,K,WK,YP 
S_Fri_BR_3303_2040396500014306,0,0,*,*,YP 
S_Fri_BR_3303_2040397E00044026,0,0,*,*,YP 
S_Fri_BR_3303_204039A10005895B,0,0,*,*,YP 
S_Fri_BR_3303_204039A1000BDDB6,0,0,*,*,YP 
S_Fri_BR_3303_204049150002C1AF,0,0,*,*,YP 
S_Fri_BR_3303_2040494A0005E235,0,0,*,*,YP 
S_Fri_BR_3303_2040495400046B5B,2,36,K,WK,NP 
S_Fri_BR_3303_204049550009698E,4,87,K,WK,YP 
S_Fri_BR_3303_204049A10005A835,0,0,*,*,YP 
S_Fri_BR_3303_20435954000A210E,0,0,*,*,YP 
S_Fri_BR_3303_2043595B0000FBE1,0,0,*,*,YP 
S_Fri_BR_3303_2043596700005BBB,3,40,K,WK,NP 
S_Fri_BR_3303_204359740001EB0F,0,0,*,*,YP 
S_Fri_BR_3303_2043598600052318,0,0,*,*,YP 
S_Fri_BR_3303_2043598F00023DAB,0,0,*,*,YP 
S_Fri_BR_3303_2043599A00015DF7,0,0,*,*,YP 
S_Fri_BR_3303_205049010005D56E,2,32,K,WK,YP 
S_Fri_BR_3303_205049240001EFE3,0,0,*,*,YP 
S_Fri_BR_3303_2050495800021C2E,4,80,K,WK,YP 
S_Fri_BR_3303_2050497100056E23,0,0,*,*,YP 
S_Fri_BR_3303_2050497B00016940,0,0,*,*,YP 
S_Fri_BR_3303_2050497F000B41E6,2,28,K,WK,NP 
S_Fri_BR_3303_2050498100007C8E,2,35,K,WK,NP 
S_Fri_BR_3303_2050499A0002F320,2,40,K,WK,NP 
S_Fri_BR_3303_206048AB0002DC35,0,0,*,*,YP 
S_Fri_BR_3303_2060491600006FAB,2,40,K,WK,NP 
S_Fri_BR_3303_2060492500020770,0,0,*,*,YP 
S_Fri_BR_3303_2060496D00007524,0,0,*,*,YP 
S_Fri_BR_3303_2060497B0003DC1D,4,72,K,WK,YP 
S_Fri_BR_3303_2060497E0006F740,1,12,K,WK,NP 
S_Fri_BR_3303_2060498E00013078,4,71,K,WK,YP 
S_Fri_BR_3303_206049930002D3E0,3,78,K,WK,NP 
S_Fri_BR_3303_2060499B00039F05,1,17,K,WK,NP 
S_Fri_BR_3303_206049A100062CC3,11,230,K,WK,YP 
S_Fri_BR_3303_206329410002E3C4,0,0,*,*,YP 
S_Fri_BR_3303_2063296E0005D2A6,3,56,K,WK,YP 
S_Fri_BR_3303_206329710002E0E8,1,9,K,WK,NP 
S_Fri_BR_3303_2063297F0001724B,0,0,*,*,YP 
S_Fri_BR_3303_206329800000C3EF,0,0,*,*,YP 
S_Fri_BR_3303_206329970001492C,11,224,K,WK,YP 
S_Fri_BR_3303_3003491200002B07,0,0,*,*,YP 
S_Fri_BR_3303_300349120000A4DD,0,0,*,*,YP 
S_Fri_BR_3303_300349120000DCE0,1,20,K,WK,NP 
S_Fri_BR_3303_300349B300005DC8,0,0,*,*,YP 
S_Fri_BR_3303_300349C800003ACC,1,20,K,WK,NP 
S_Fri_BR_3303_3003693200002AC2,0,0,*,*,YP 
S_Fri_BR_3303_3003896200002B91,0,0,*,*,YP 
S_Fri_BR_3303_300398830000475C,8,158,K,WK,YP 
S_Fri_BR_3303_3003A93400001446,0,0,*,*,YP 
S_Fri_BR_3303_3003AA3000008A8F,6,146,K,WK,YP 
S_Fri_BR_3303_3003B913000002FC,4,86,K,WK,YP 
S_Fri_BR_3303_3003B9130000A5E5,0,0,*,*,YP 
S_Fri_BR_3303_3003B9B200007D54,0,0,*,*,YP 
S_Fri_BR_3303_3003E90F00000C66,3,62,K,WK,YP 
S_Fri_BR_3303_3003E90F00001081,0,0,*,*,YP 
S_Fri_BR_3303_3003E91500004486,0,0,*,*,YP 
S_Fri_BR_3303_3003E9150000522A,0,0,*,*,YP 
S_Fri_BR_3303_3003E91500009B6A,2,46,K,WK,YP 
S_Fri_BR_3303_3003E9150000BD41,4,80,K,WK,YP 
S_Fri_BR_3303_3003E9150000CBFA,2,33,K,WK,NP 
S_Fri_BR_3303_3003E9150000CF7C,4,110,K,WK,NP 
S_Fri_BR_3303_3003E9150000D370,1,20,K,WK,NP 
S_Fri_BR_3303_30041993000048CB,0,0,*,*,YP 
S_Fri_BR_3303_3004291300001641,2,40,K,WK,NP 
S_Fri_BR_3303_300429CC00006EDB,9,190,K,WK,YP 
S_Fri_BR_3303_30043A2800001DCF,2,32,K,WK,NP 
S_Fri_BR_3303_3004697C000020A6,0,0,*,*,YP 
S_Fri_BR_3303_300489550000014A,2,35,K,WK,NP 
S_Fri_BR_3304_10D5A000003243C7,0,0,*,*,YP 
S_Fri_BR_3304_2001996B00011AD0,2,40,K,WK,NP 
S_Fri_BR_3304_2001996D00002147,1,17,K,WK,NP 
S_Fri_BR_3304_2001999400036858,1,12,K,WK,NP 
S_Fri_BR_3304_2001999C0007145C,2,35,K,WK,NP 
S_Fri_BR_3304_2002090800088C06,0,0,*,*,YP 
S_Fri_BR_3304_200209690003D834,2,47,K,WK,YP 
S_Fri_BR_3304_200209850006C4EC,2,21,K,WK,NP 
S_Fri_BR_3304_2002099000004D47,1,21,K,WK,NP 
S_Fri_BR_3304_200209970007497F,2,25,K,WK,NP 
S_Fri_BR_3304_2002099D0001392A,0,0,*,*,YP 
S_Fri_BR_3304_2002099D00018E55,3,53,K,WK,YP 
S_Fri_BR_3304_200209A200010812,4,62,K,WK,YP 
S_Fri_BR_3304_200209A300012A7E,1,11,K,WK,NP 
S_Fri_BR_3304_200219A200025843,0,0,*,*,YP 
S_Fri_BR_3304_20022901000A5298,1,11,K,WK,NP 
S_Fri_BR_3304_2002295400024D25,0,0,*,*,YP 
S_Fri_BR_3304_200229790004F8EC,1,14,K,WK,NP 
S_Fri_BR_3304_2002298500050F76,5,96,K,WK,YP 
S_Fri_BR_3304_2002299C0001DE32,3,76,K,WK,NP 
S_Fri_BR_3304_2002299E0006BB7F,2,54,K,WK,NP 
S_Fri_BR_3304_200238F3000048DF,1,12,K,WK,NP 
S_Fri_BR_3304_2002396800035BA6,2,20,K,WK,YP 
S_Fri_BR_3304_200239810000AEDA,2,41,K,WK,YP 
S_Fri_BR_3304_2002398800087275,1,13,K,WK,NP 
S_Fri_BR_3304_2002398C00035E3C,0,0,*,*,YP 
S_Fri_BR_3304_2002497A000270A1,1,21,K,WK,NP 
S_Fri_BR_3304_2002499700007A59,0,0,*,*,YP 
S_Fri_BR_3304_2002499D000841BB,2,46,K,WK,NP 
S_Fri_BR_3304_2002499E0001F619,1,13,K,WK,NP 
S_Fri_BR_3304_2002590B00092FCC,1,18,K,WK,NP 
S_Fri_BR_3304_2002591E0009536D,2,46,K,WK,NP 
S_Fri_BR_3304_200259920007CE88,2,46,K,WK,NP 
S_Fri_BR_3304_20026931000B2477,1,19,K,WK,NP 
S_Fri_BR_3304_2002693B000A3E0B,1,11,K,WK,NP 
S_Fri_BR_3304_2002694D00026489,2,35,K,WK,NP 
S_Fri_BR_3304_2002699300021E34,1,8,K,WK,NP 
S_Fri_BR_3304_200278D00004413A,3,23,K,WK,NP 
S_Fri_BR_3304_2002792A00079784,0,0,*,*,YP 
S_Fri_BR_3304_2002795100076391,0,0,*,*,YP 
S_Fri_BR_3304_2002797700006989,1,17,K,WK,NP 
S_Fri_BR_3304_200279900006BA8A,2,46,K,WK,NP 
S_Fri_BR_3304_200288FE0001080D,5,88,K,WK,YP 
S_Fri_BR_3304_200288FF000764CF,1,14,K,WK,NP 
S_Fri_BR_3304_200289810001776C,2,46,K,WK,NP 
S_Fri_BR_3304_2002898400046BDC,1,15,K,WK,NP 
S_Fri_BR_3304_200289960001CEA6,2,36,K,WK,NP 
S_Fri_BR_3304_2002994C000192A1,1,17,K,WK,NP 
S_Fri_BR_3304_2002997F0009A86D,2,35,K,WK,NP 
S_Fri_BR_3304_2002999500005FD5,2,27,K,WK,NP 
S_Fri_BR_3304_200299950000FF12,1,12,K,WK,NP 
S_Fri_BR_3304_200299970001A660,1,13,K,WK,NP 
S_Fri_BR_3304_200308E800028765,1,21,K,WK,NP 
S_Fri_BR_3304_200309140002DE5E,2,25,K,WK,NP 
S_Fri_BR_3304_200309920005AD58,1,16,K,WK,NP 
S_Fri_BR_3304_200509FA00020292,1,12,K,WK,NP 
S_Fri_BR_3304_20051A0B000390F7,0,0,*,*,YP 
S_Fri_BR_3304_20051A1C00027C2C,2,40,K,WK,NP 
S_Fri_BR_3304_20051A34000054F9,4,57,K,WK,YP 
S_Fri_BR_3304_20052A1000085531,1,15,K,WK,NP 
S_Fri_BR_3304_20052A270002C92A,0,0,*,*,YP 
S_Fri_BR_3304_20052A380001FCDA,1,7,K,WK,NP 
S_Fri_BR_3304_20053A0900098DC3,2,26,K,WK,NP 
S_Fri_BR_3304_20053A370000D67C,0,0,*,*,YP 
S_Fri_BR_3304_20053A58000051B5,0,0,*,*,YP 
S_Fri_BR_3304_200549A500002C28,9,210,K,WK,YP 
S_Fri_BR_3304_20054A3500069EB2,0,0,*,*,YP 
S_Fri_BR_3304_20054A580008112F,1,25,K,WK,NP 
S_Fri_BR_3304_200559A50001BB1C,1,19,K,WK,NP 
S_Fri_BR_3304_20055A0700034612,1,18,K,WK,NP 
S_Fri_BR_3304_20055A11000B3262,0,0,*,*,YP 
S_Fri_BR_3304_20055A2C0000B22C,2,44,K,WK,NP 
S_Fri_BR_3304_20055A2C00015ADD,2,64,K,WK,NP 
S_Fri_BR_3304_20055A3600035953,2,27,K,WK,NP 
S_Fri_BR_3304_20055A3A00053EF0,1,13,K,WK,NP 
S_Fri_BR_3304_200569A6000103AE,1,12,K,WK,NP 
S_Fri_BR_3304_200569D50007C209,1,18,K,WK,NP 
S_Fri_BR_3304_20056A0300007D63,2,17,K,WK,NP 
S_Fri_BR_3304_20056A0A000B3812,1,13,K,WK,NP 
S_Fri_BR_3304_20056A0B00007CA4,0,0,*,*,YP 
S_Fri_BR_3304_20056A0B000AD95F,0,0,*,*,YP 
S_Fri_BR_3304_20056A1E0005A84D,2,30,K,WK,NP 
S_Fri_BR_3304_20056A2F00000346,1,14,K,WK,NP 
S_Fri_BR_3304_20058A050002502F,0,0,*,*,YP 
S_Fri_BR_3304_20058A1100077DFB,1,16,K,WK,NP 
S_Fri_BR_3304_20058A320002670F,0,0,*,*,YP 
S_Fri_BR_3304_20058A4A00004B2D,0,0,*,*,YP 
S_Fri_BR_3304_20058A5800027D02,1,28,K,WK,NP 
S_Fri_BR_3304_20059A04000C79C7,1,18,K,WK,NP 
S_Fri_BR_3304_20059A400001356C,1,13,K,WK,NP 
S_Fri_BR_3304_20059A5100007FB6,0,0,*,*,YP 
S_Fri_BR_3304_2005A9F80001B4E7,1,2,K,WK,NP 
S_Fri_BR_3304_2005AA2F00035108,1,16,K,WK,NP 
S_Fri_BR_3304_2005AA380000FD3D,6,136,K,WK,YP 
S_Fri_BR_3304_2005AA570000A7F7,1,10,K,WK,NP 
S_Fri_BR_3304_2005BA420000923F,1,20,K,WK,NP 
S_Fri_BR_3304_2005BA5900088C74,1,12,K,WK,NP 
S_Fri_BR_3304_2005C9FE000BCCB2,2,39,K,WK,NP 
S_Fri_BR_3304_2005CA22000953BE,0,0,*,*,YP 
S_Fri_BR_3304_2005CA46000083AA,2,26,K,WK,NP 
S_Fri_BR_3304_2005CA4600052CCC,2,23,K,WK,NP 
S_Fri_BR_3304_2005CA4A00011A32,2,30,K,WK,NP 
S_Fri_BR_3304_2005CA4C00078F19,0,0,*,*,YP 
S_Fri_BR_3304_2005D9DF0007F727,2,35,K,WK,NP 
S_Fri_BR_3304_2005D9E10006E91B,4,53,K,WK,YP 
S_Fri_BR_3304_2005E9A700053B22,0,0,*,*,YP 
S_Fri_BR_3304_2005EA1200009850,2,46,K,WK,NP 
S_Fri_BR_3304_2005EA2100028BAD,0,0,*,*,YP 
S_Fri_BR_3304_2005EA2200018D92,1,13,K,WK,NP 
S_Fri_BR_3304_2005EA3000036978,1,13,K,WK,NP 
S_Fri_BR_3304_2005EA3200034338,1,15,K,WK,NP 
S_Fri_BR_3304_2005EA440006FC36,2,19,K,WK,NP 
S_Fri_BR_3304_2005EA5300024EE0,2,47,K,WK,NP 
S_Fri_BR_3304_2005F9B40000F388,1,11,K,WK,NP 
S_Fri_BR_3304_2005FA270007F3D3,2,18,K,WK,NP 
S_Fri_BR_3304_2005FA3700017D5D,1,18,K,WK,NP 
S_Fri_BR_3304_2005FA4400072725,0,0,*,*,YP 
S_Fri_BR_3304_2005FA4D0001174E,1,10,K,WK,NP 
S_Fri_BR_3304_20060A060000FA8C,1,20,K,WK,NP 
S_Fri_BR_3304_20060A1600002166,0,0,*,*,YP 
S_Fri_BR_3304_20060A290003CA08,1,23,K,WK,NP 
S_Fri_BR_3304_20061A57000150C2,1,15,K,WK,NP 
S_Fri_BR_3304_20062A16000036DE,0,0,*,*,YP 
S_Fri_BR_3304_20062A2300004F11,1,13,K,WK,NP 
S_Fri_BR_3304_20062A2800019FF0,2,52,K,WK,NP 
S_Fri_BR_3304_20062A370003B3CE,0,0,*,*,YP 
S_Fri_BR_3304_20062A3F000198AE,3,54,K,WK,YP 
S_Fri_BR_3304_20062A4D00007A55,0,0,*,*,YP 
S_Fri_BR_3304_2022298A00019DE7,2,30,K,WK,NP 
S_Fri_BR_3304_2032099B00001551,0,0,*,*,YP 
S_Fri_BR_3304_2032099C00019269,1,14,K,WK,NP 
S_Fri_BR_3304_2040393800044012,1,14,K,WK,NP 
S_Fri_BR_3304_2040397B0005EFC7,1,9,K,WK,NP 
S_Fri_BR_3304_20403994000105A6,1,15,K,WK,NP 
S_Fri_BR_3304_204039970000656A,2,42,K,WK,NP 
S_Fri_BR_3304_2040399E00014FA6,0,0,*,*,YP 
S_Fri_BR_3304_204039A100038134,1,20,K,WK,NP 
S_Fri_BR_3304_2040495B0002605D,3,69,K,WK,NP 
S_Fri_BR_3304_2040497B000063EE,8,110,K,WK,YP 
S_Fri_BR_3304_2040498D00022BE3,2,23,K,WK,NP 
S_Fri_BR_3304_2040499A0006E9B2,2,27,K,WK,NP 
S_Fri_BR_3304_2040499E0000F43F,3,25,K,WK,YP 
S_Fri_BR_3304_2043592A00012B5A,1,13,K,WK,NP 
S_Fri_BR_3304_2043593A000AB2C6,1,9,K,WK,NP 
S_Fri_BR_3304_2043596D000A219E,7,145,K,WK,YP 
S_Fri_BR_3304_204359950002C44C,1,5,K,WK,NP 
S_Fri_BR_3304_2043599B0001C56D,2,25,K,WK,NP 
S_Fri_BR_3304_2050498C0002B653,0,0,*,*,YP 
S_Fri_BR_3304_2050499C00016966,0,0,*,*,YP 
S_Fri_BR_3304_20604944000166E7,2,32,K,WK,NP 
S_Fri_BR_3304_2060494F0005F3DD,1,10,K,WK,NP 
S_Fri_BR_3304_2060496400077060,2,16,K,WK,NP 
S_Fri_BR_3304_2060499E0007D162,1,15,K,WK,NP 
S_Fri_BR_3304_206328FC00049098,1,23,K,WK,NP 
S_Fri_BR_3304_206329200009DE39,1,20,K,WK,NP 
S_Fri_BR_3304_206329410001B81D,2,25,K,WK,YP 
S_Fri_BR_3304_2063294B00043C2B,1,15,K,WK,NP 
S_Fri_BR_3304_20632972000266F3,1,7,K,WK,NP 
S_Fri_BR_3304_206329790002588F,0,0,*,*,YP 
S_Fri_BR_3304_3003991500000659,3,42,K,WK,YP 
S_Fri_BR_3304_3003998D00000897,2,38,K,WK,NP 
S_Fri_BR_3304_3003A91000006F66,2,49,K,WK,NP 
S_Fri_BR_3304_3003B91300001AEB,0,0,*,*,YP 
S_Fri_BR_3304_3003B9B10000752A,1,13,K,WK,NP 
S_Fri_BR_3304_3003B9B200003FCA,2,38,K,WK,NP 
S_Fri_BR_3304_3003B9B200006E5B,1,13,K,WK,NP 
S_Fri_BR_3304_3003E90E00005014,0,0,*,*,YP 
S_Fri_BR_3304_3003E9150000520D,1,5,K,WK,NP 
S_Fri_BR_3304_3003E9150000B988,0,0,*,*,YP 
S_Fri_BR_3304_3003E9150000C470,2,46,K,WK,YP 
S_Fri_BR_3304_3003E9150000E2CC,2,55,K,WK,NP 
S_Fri_BR_3304_3004091700004190,0,0,*,*,YP 
S_Fri_BR_3304_300419CC00004F1F,0,0,*,*,YP 
S_Fri_BR_3304_30041A3C000028A0,3,55,K,WK,NP 
S_Fri_BR_3304_3004291500003FB8,1,14,K,WK,NP 
S_Fri_BR_3304_300429150000404A,1,18,K,WK,NP 
S_Fri_BR_3304_300429CD00000573,0,0,*,*,YP 
S_Fri_BR_3304_300429CD00000E2F,1,12,K,WK,NP 
S_Fri_BR_3304_3004390900005B78,3,52,K,WK,NP 
S_Fri_BR_3304_3004396C0000E72D,2,39,K,WK,NP 
S_Fri_BR_3304_30044A570000896B,8,170,K,WK,YP 
S_Fri_BR_3304_300479890000111B,1,14,K,WK,NP 
S_Fri_BR_3304_3004995C0000154D,1,15,K,WK,NP 
S_Fri_BR_3304_30068A2800002DE7,1,16,K,WK,NP 
S_Fri_BR_3309_10ACB200002EA0DC,0,0,*,*,YP 
S_Fri_BR_3309_10ACB200003233EE,1,20,K,WK,NP 
S_Fri_BR_3309_2001992400032968,0,0,*,*,YP 
S_Fri_BR_3309_20019987000028E8,6,106,K,WK,YP 
